,lineup_ids,lineup_names,points_allowed,points_scored
82,203507 - 203898 - 203948 - 203101 - 1626173,"Antetokounmpo,Giannis - Ennis,Tyler - O'Bryant III,Johnny - Plumlee,Miles - Vaughn,Rashad",8.0,6.5
83,203507 - 203487 - 203089 - 201564 - 203114,"Antetokounmpo,Giannis - Carter-Williams,Michael - Henson,John - Mayo,O.J. - Middleton,Khris",8.2,9.5
84,201573 - 203487 - 203089 - 203114 - 203953,"Bayless,Jerryd - Carter-Williams,Michael - Henson,John - Middleton,Khris - Parker,Jabari",8.6,6.1
85,203487 - 203089 - 201564 - 203114 - 203953,"Carter-Williams,Michael - Henson,John - Mayo,O.J. - Middleton,Khris - Parker,Jabari",7.6,8.7
86,203487 - 201564 - 203114 - 203948 - 203101,"Carter-Williams,Michael - Mayo,O.J. - Middleton,Khris - O'Bryant III,Johnny - Plumlee,Miles",9.4,10.7
87,203898 - 202328 - 203953 - 202349 - 1626173,"Ennis,Tyler - Monroe,Greg - Parker,Jabari - Vasquez,Greivis - Vaughn,Rashad",12.0,6.0
88,203507 - 203487 - 203089 - 203114 - 203953,"Antetokounmpo,Giannis - Carter-Williams,Michael - Henson,John - Middleton,Khris - Parker,Jabari",6.5,8.8
89,203507 - 203898 - 203089 - 203114 - 203953,"Antetokounmpo,Giannis - Ennis,Tyler - Henson,John - Middleton,Khris - Parker,Jabari",5.4,4.7
90,203507 - 203898 - 203114 - 202328 - 203948,"Antetokounmpo,Giannis - Ennis,Tyler - Middleton,Khris - Monroe,Greg - O'Bryant III,Johnny",9.0,7.0
91,201573 - 203487 - 203996 - 203114 - 202328,"Bayless,Jerryd - Carter-Williams,Michael - Inglis,Damien - Middleton,Khris - Monroe,Greg",11.0,9.0
92,201573 - 203898 - 203114 - 202328 - 203953,"Bayless,Jerryd - Ennis,Tyler - Middleton,Khris - Monroe,Greg - Parker,Jabari",6.5,7.0
93,201573 - 201564 - 203114 - 203948 - 203953,"Bayless,Jerryd - Mayo,O.J. - Middleton,Khris - O'Bryant III,Johnny - Parker,Jabari",8.0,7.0
94,201573 - 203114 - 202328 - 203948 - 202349,"Bayless,Jerryd - Middleton,Khris - Monroe,Greg - O'Bryant III,Johnny - Vasquez,Greivis",7.0,9.0
95,203898 - 202328 - 203948 - 203953 - 1626173,"Ennis,Tyler - Monroe,Greg - O'Bryant III,Johnny - Parker,Jabari - Vaughn,Rashad",11.4,6.7
96,201573 - 203487 - 203114 - 203953 - 203101,"Bayless,Jerryd - Carter-Williams,Michael - Middleton,Khris - Parker,Jabari - Plumlee,Miles",9.0,7.3
97,201573 - 203089 - 201564 - 203114 - 203948,"Bayless,Jerryd - Henson,John - Mayo,O.J. - Middleton,Khris - O'Bryant III,Johnny",11.0,9.0
98,203507 - 203487 - 201564 - 203114 - 202328,"Antetokounmpo,Giannis - Carter-Williams,Michael - Mayo,O.J. - Middleton,Khris - Monroe,Greg",7.6,7.2
99,203507 - 201564 - 202328 - 203948 - 1626173,"Antetokounmpo,Giannis - Mayo,O.J. - Monroe,Greg - O'Bryant III,Johnny - Vaughn,Rashad",7.3,7.3
100,203507 - 203114 - 202328 - 203948 - 1626173,"Antetokounmpo,Giannis - Middleton,Khris - Monroe,Greg - O'Bryant III,Johnny - Vaughn,Rashad",6.5,7.0
101,201573 - 203898 - 201564 - 202328 - 203953,"Bayless,Jerryd - Ennis,Tyler - Mayo,O.J. - Monroe,Greg - Parker,Jabari",8.0,6.0
102,203507 - 201573 - 203114 - 202328 - 202349,"Antetokounmpo,Giannis - Bayless,Jerryd - Middleton,Khris - Monroe,Greg - Vasquez,Greivis",7.0,6.3
103,203507 - 203898 - 203089 - 203948 - 1626173,"Antetokounmpo,Giannis - Ennis,Tyler - Henson,John - O'Bryant III,Johnny - Vaughn,Rashad",9.6,4.3
104,201573 - 203898 - 203114 - 202328 - 203948,"Bayless,Jerryd - Ennis,Tyler - Middleton,Khris - Monroe,Greg - O'Bryant III,Johnny",5.5,6.0
105,203507 - 201573 - 203487 - 203089 - 203948,"Antetokounmpo,Giannis - Bayless,Jerryd - Carter-Williams,Michael - Henson,John - O'Bryant III,Johnny",7.0,8.0
106,203507 - 203142 - 203101 - 202349 - 1626173,"Antetokounmpo,Giannis - Copeland,Chris - Plumlee,Miles - Vasquez,Greivis - Vaughn,Rashad",4.0,10.0
107,203507 - 201564 - 203114 - 203953 - 202349,"Antetokounmpo,Giannis - Mayo,O.J. - Middleton,Khris - Parker,Jabari - Vasquez,Greivis",8.0,10.0
108,201573 - 203089 - 201564 - 203948 - 202349,"Bayless,Jerryd - Henson,John - Mayo,O.J. - O'Bryant III,Johnny - Vasquez,Greivis",8.0,5.0
109,203507 - 201573 - 203114 - 203101 - 1626173,"Antetokounmpo,Giannis - Bayless,Jerryd - Middleton,Khris - Plumlee,Miles - Vaughn,Rashad",7.6,11.3
110,203507 - 203099 - 203114 - 202328 - 203953,"Antetokounmpo,Giannis - Cunningham,Jared - Middleton,Khris - Monroe,Greg - Parker,Jabari",4.0,5.0
