,player_id,display_name,cluster
181,201163,Wilson Chandler,3
182,201166,Aaron Brooks,5
183,201167,Arron Afflalo,8
184,201168,Tiago Splitter,6
185,201171,Carl Landry,6
186,201175,Glen Davis,6
187,201177,Josh McRoberts,0
188,201188,Marc Gasol,4
190,201196,Ramon Sessions,5
191,201202,Joel Anthony,2
193,201228,CJ Watson,8
194,201229,Anthony Tolliver,3
195,201563,Michael Beasley,0
196,201564,O.J. Mayo,8
197,201565,Derrick Rose,5
198,201566,Russell Westbrook,9
199,201567,Kevin Love,0
200,201568,Danilo Gallinari,10
201,201569,Eric Gordon,8
202,201571,D.J. Augustin,8
203,201572,Brook Lopez,4
204,201573,Jerryd Bayless,8
205,201574,Jason Thompson,6
206,201575,Brandon Rush,3
207,201576,Anthony Randolph,10
208,201577,Robin Lopez,2
209,201578,Marreese Speights,4
210,201579,Roy Hibbert,2
211,201580,JaVale McGee,2
212,201581,JJ Hickson,2
213,201582,Alexis Ajinca,2
214,201583,Ryan Anderson,0
215,201584,Courtney Lee,8
216,201585,Kosta Koufos,2
217,201586,Serge Ibaka,0
218,201587,Nicolas Batum,1
219,201588,George Hill,8
220,201589,Darrell Arthur,0
222,201593,Nikola Pekovic,6
223,201595,Joey Dorsey,6
224,201596,Mario Chalmers,8
225,201599,DeAndre Jordan,2
226,201600,Omer Asik,2
227,201601,Luc Mbah a Moute,3
229,201604,Chris Douglas-Roberts,7
230,201609,Goran Dragic,5
231,201611,Henry Walker,7
233,201627,Anthony Morrow,7
236,201858,Cartier Martin,7
237,201880,Greg Stiemsma,6
238,201933,Blake Griffin,4
240,201935,James Harden,9
241,201936,Tyreke Evans,9
242,201937,Ricky Rubio,9
243,201939,Stephen Curry,5
244,201941,Jordan Hill,2
245,201942,DeMar DeRozan,1
246,201943,Brandon Jennings,5
247,201945,Gerald Henderson,8
248,201946,Tyler Hansbrough,2
249,201947,Earl Clark,7
251,201949,James Johnson,3
252,201950,Jrue Holiday,9
253,201951,Ty Lawson,5
254,201952,Jeff Teague,5
256,201954,Darren Collison,8
257,201956,Omri Casspi,0
259,201959,Taj Gibson,2
260,201960,DeMarre Carroll,3
261,201961,Wayne Ellington,7
262,201962,Toney Douglas,8
264,201965,Jeff Ayres,6
265,201967,Dante Cunningham,0
266,201971,DeJuan Blair,2
267,201973,Jonas Jerebko,0
268,201975,Jodie Meeks,7
269,201976,Patrick Beverley,3
270,201977,Marcus Thornton,3
271,201978,Chase Budinger,7
272,201979,Nick Calathes,5
273,201980,Danny Green,3
276,201988,Patty Mills,8
278,202066,Garrett Temple,3
280,202083,Wesley Matthews,7
281,202087,Alonzo Gee,3
285,202322,John Wall,9
286,202323,Evan Turner,1
287,202324,Derrick Favors,2
288,202325,Wesley Johnson,3
289,202326,DeMarcus Cousins,4
290,202327,Ekpe Udoh,6
291,202328,Greg Monroe,2
292,202329,Al-Farouq Aminu,3
293,202330,Gordon Hayward,1
294,202331,Paul George,1
295,202332,Cole Aldrich,2
296,202333,Xavier Henry,10
297,202334,Ed Davis,2
298,202335,Patrick Patterson,3
299,202336,Larry Sanders,6
300,202337,Luke Babbitt,3
301,202338,Kevin Seraphin,2
302,202339,Eric Bledsoe,9
303,202340,Avery Bradley,7
304,202341,James Anderson,7
305,202343,Elliot Williams,8
306,202344,Trevor Booker,0
308,202347,Quincy Pondexter,7
309,202348,Jordan Crawford,5
310,202349,Greivis Vasquez,8
314,202355,Hassan Whiteside,2
315,202357,Nemanja Bjelica,7
316,202361,Landry Fields,10
317,202362,Lance Stephenson,5
320,202379,Jeremy Evans,0
322,202388,Donald Sloan,5
323,202389,Timofey Mozgov,2
324,202390,Gary Neal,8
325,202391,Jeremy Lin,1
326,202397,Ish Smith,5
327,202399,Jeff Adrien,6
328,202407,Elijah Millsap,8
330,202498,Lance Thomas,10
332,202681,Kyrie Irving,5
333,202682,Derrick Williams,10
334,202683,Enes Kanter,4
335,202684,Tristan Thompson,2
336,202685,Jonas Valanciunas,2
337,202686,Jan Vesely,6
338,202687,Bismack Biyombo,2
339,202688,Brandon Knight,5
340,202689,Kemba Walker,5
341,202690,Jimmer Fredette,5
342,202691,Klay Thompson,7
343,202692,Alec Burks,1
344,202693,Markieff Morris,0
345,202694,Marcus Morris,3
346,202695,Kawhi Leonard,1
347,202696,Nikola Vucevic,2
348,202697,Iman Shumpert,3
350,202699,Tobias Harris,3
351,202700,Donatas Motiejunas,0
352,202702,Kenneth Faried,2
353,202703,Nikola Mirotic,3
354,202704,Reggie Jackson,5
356,202706,Jordan Hamilton,3
357,202708,Norris Cole,8
358,202709,Cory Joseph,5
359,202710,Jimmy Butler,1
360,202711,Bojan Bogdanovic,7
362,202713,Kyle Singler,3
363,202714,Shelvin Mack,8
364,202718,Chandler Parsons,3
366,202720,Jon Leuer,0
367,202721,Darius Morris,8
372,202730,Lavoy Allen,2
374,202734,E'Twaun Moore,8
375,202738,Isaiah Thomas,5
380,202962,Greg Smith,6
382,203076,Anthony Davis,4
383,203077,Michael Kidd-Gilchrist,0
384,203078,Bradley Beal,8
385,203079,Dion Waiters,8
386,203080,Thomas Robinson,2
387,203081,Damian Lillard,5
388,203082,Terrence Ross,7
389,203083,Andre Drummond,2
390,203084,Harrison Barnes,3
391,203085,Austin Rivers,5
392,203086,Meyers Leonard,0
393,203087,Jeremy Lamb,3
394,203088,Kendall Marshall,8
395,203089,John Henson,2
396,203090,Maurice Harkless,3
398,203092,Tyler Zeller,2
399,203093,Terrence Jones,0
400,203094,Andrew Nicholson,0
401,203095,Evan Fournier,8
402,203096,Jared Sullinger,0
403,203098,John Jenkins,7
404,203099,Jared Cunningham,10
405,203100,Tony Wroten,9
406,203101,Miles Plumlee,2
408,203103,Perry Jones,7
410,203105,Festus Ezeli,6
411,203106,Jeff Taylor,7
414,203109,Jae Crowder,3
415,203110,Draymond Green,0
417,203112,Quincy Acy,0
418,203113,Quincy Miller,10
419,203114,Khris Middleton,8
420,203115,Will Barton,1
422,203117,Doron Lamb,7
423,203118,Mike Scott,3
424,203120,Justin Hamilton,0
425,203121,Darius Miller,7
426,203123,Kostas Papanikolaou,7
427,203124,Kyle O'Quinn,4
428,203128,Furkan Aldemir,4
431,203133,Robbie Hummel,7
432,203135,Robert Sacre,6
434,203138,Hollis Thompson,3
436,203141,Mirza Teletovic,3
437,203142,Chris Copeland,7
438,203143,Pablo Prigioni,8
439,203144,Alexey Shved,5
440,203145,Kent Bazemore,3
443,203148,Brian Roberts,1
444,203156,Henry Sims,4
446,203186,Willie Reed,6
447,203187,Chris Johnson,7
448,203197,Diante Garrett,8
449,203200,Justin Holiday,7
450,203210,JaMychal Green,0
455,203382,Aron Baynes,2
456,203457,Nerlens Noel,6
457,203458,Alex Len,2
458,203459,Allen Crabbe,7
459,203460,Andre Roberson,3
460,203461,Anthony Bennett,0
461,203462,Archie Goodwin,10
462,203463,Ben McLemore,7
464,203468,CJ McCollum,8
465,203469,Cody Zeller,2
466,203471,Dennis Schroder,5
467,203473,Dewayne Dedmon,2
470,203476,Gorgui Dieng,2
471,203477,Isaiah Canaan,8
474,203481,Jeff Withey,2
475,203482,Kelly Olynyk,0
476,203484,Kentavious Caldwell-Pope,8
477,203485,Lorenzo Brown,5
478,203486,Mason Plumlee,2
479,203487,Michael Carter-Williams,9
480,203488,Mike Muscala,0
481,203489,Nate Wolters,5
482,203490,Otto Porter,3
484,203492,Ray McCallum,8
485,203493,Reggie Bullock,3
487,203496,Robert Covington,3
488,203497,Rudy Gobert,2
