,lineup_ids,clusters,lineup_names,points_scored,points_allowed,MIN_TOT,net,net_per_min
12462,"201945,202329,202334,203081,203459","2,2,4,8,9","Aminu,Al-Farouq - Crabbe,Allen - Davis,Ed - Henderson,Gerald - Lillard,Damian",70.4,76.8,33.6,-6.4,-0.190476190476
12463,"201945,202329,202334,203081,203468","2,2,6,8,9","Aminu,Al-Farouq - Davis,Ed - Henderson,Gerald - Lillard,Damian - McCollum,CJ",47.0,46.0,25.0,1.0,0.04
12471,"201945,202329,202334,203459,203468","2,2,4,6,8","Aminu,Al-Farouq - Crabbe,Allen - Davis,Ed - Henderson,Gerald - McCollum,CJ",129.6,128.0,54.4,1.6,0.0294117647059
12479,"201945,202329,203081,203090,203486","0,2,8,8,9","Aminu,Al-Farouq - Harkless,Maurice - Henderson,Gerald - Lillard,Damian - Plumlee,Mason",59.0,40.0,24.0,19.0,0.791666666667
12481,"201945,202329,203081,203459,203486","0,2,4,8,9","Aminu,Al-Farouq - Crabbe,Allen - Henderson,Gerald - Lillard,Damian - Plumlee,Mason",90.3,98.7,42.0,-8.4,-0.2
12483,"201945,202329,203081,203468,203486","0,2,6,8,9","Aminu,Al-Farouq - Henderson,Gerald - Lillard,Damian - McCollum,CJ - Plumlee,Mason",158.7,158.7,73.6,0.0,0.0
12492,"201945,202329,203459,203468,203486","0,2,4,6,8","Aminu,Al-Farouq - Crabbe,Allen - Henderson,Gerald - McCollum,CJ - Plumlee,Mason",28.0,43.2,16.0,-15.2,-0.95
12497,"201945,202334,203081,203086,203459","2,3,4,8,9","Crabbe,Allen - Davis,Ed - Henderson,Gerald - Leonard,Meyers - Lillard,Damian",294.0,255.0,129.0,39.0,0.302325581395
12500,"201945,202334,203081,203090,203459","2,4,8,8,9","Crabbe,Allen - Davis,Ed - Harkless,Maurice - Henderson,Gerald - Lillard,Damian",199.8,207.9,89.1,-8.1,-0.0909090909091
12507,"201945,202334,203081,203459,203943","1,2,4,8,9","Crabbe,Allen - Davis,Ed - Henderson,Gerald - Lillard,Damian - Vonleh,Noah",45.9,45.0,22.5,0.9,0.04
12510,"201945,202334,203086,203090,203468","2,3,6,8,8","Davis,Ed - Harkless,Maurice - Henderson,Gerald - Leonard,Meyers - McCollum,CJ",79.8,74.2,36.4,5.6,0.153846153846
12511,"201945,202334,203086,203090,204025","2,3,8,8,8","Davis,Ed - Frazier,Tim - Harkless,Maurice - Henderson,Gerald - Leonard,Meyers",81.9,99.0,43.2,-17.1,-0.395833333333
12512,"201945,202334,203086,203459,203468","2,3,4,6,8","Crabbe,Allen - Davis,Ed - Henderson,Gerald - Leonard,Meyers - McCollum,CJ",411.4,408.0,193.8,3.4,0.0175438596491
12517,"201945,202334,203090,203459,203468","2,4,6,8,8","Crabbe,Allen - Davis,Ed - Harkless,Maurice - Henderson,Gerald - McCollum,CJ",265.2,267.8,132.6,-2.6,-0.0196078431373
12523,"201945,202334,203459,203468,203943","1,2,4,6,8","Crabbe,Allen - Davis,Ed - Henderson,Gerald - McCollum,CJ - Vonleh,Noah",76.0,57.0,34.0,19.0,0.558823529412
12529,"201945,202390,202687,203148,203469","0,2,6,7,8","Biyombo,Bismack - Henderson,Gerald - Neal,Gary - Roberts,Brian - Zeller,Cody",30.0,32.0,16.0,-2.0,-0.125
12530,"201945,202399,202687,202689,203077","0,2,2,8,8","Adrien,Jeff - Biyombo,Bismack - Henderson,Gerald - Kidd-Gilchrist,Michael - Walker,Kemba",9.1,8.9,73.5,0.2,0.00272108843537
12531,"201945,202399,202687,202689,203106","0,2,4,8,8","Adrien,Jeff - Biyombo,Bismack - Henderson,Gerald - Taylor,Jeff - Walker,Kemba",6.4,4.8,23.1,1.6,0.0692640692641
12534,"201945,202687,202689,203077,203106","0,2,4,8,8","Biyombo,Bismack - Henderson,Gerald - Kidd-Gilchrist,Michael - Taylor,Jeff - Walker,Kemba",6.6,6.0,21.0,0.6,0.0285714285714
12535,"201945,202687,202689,203077,203469","0,2,2,8,8","Biyombo,Bismack - Henderson,Gerald - Kidd-Gilchrist,Michael - Walker,Kemba - Zeller,Cody",273.2,276.2,153.6,-3.0,-0.01953125
12536,"201945,202687,202689,203106,203469","0,2,4,8,8","Biyombo,Bismack - Henderson,Gerald - Taylor,Jeff - Walker,Kemba - Zeller,Cody",62.4,89.7,36.4,-27.3,-0.75
12541,"201945,202687,203077,203148,203469","0,2,2,6,8","Biyombo,Bismack - Henderson,Gerald - Kidd-Gilchrist,Michael - Roberts,Brian - Zeller,Cody",85.0,67.0,44.5,18.0,0.404494382022
12549,"201945,203081,203090,203468,203486","0,6,8,8,9","Harkless,Maurice - Henderson,Gerald - Lillard,Damian - McCollum,CJ - Plumlee,Mason",53.9,56.7,23.8,-2.8,-0.117647058824
12590,"201946,202391,203148,203584,1626163","1,3,4,6,9","Daniels,Troy - Hansbrough,Tyler - Kaminsky,Frank - Lin,Jeremy - Roberts,Brian",37.8,34.8,21.0,3.0,0.142857142857
12635,"201949,202335,202687,202709,1626181","0,3,7,8,9","Biyombo,Bismack - Johnson,James - Joseph,Cory - Patterson,Patrick - Powell,Norman",40.0,42.0,19.5,-2.0,-0.102564102564
12636,"201949,202335,202687,202709,203082","0,3,4,7,9","Biyombo,Bismack - Johnson,James - Joseph,Cory - Patterson,Patrick - Ross,Terrence",28.0,35.7,17.5,-7.7,-0.44
12667,"201949,203186,203585,204020,1626159","2,5,5,6,7","Johnson,James - Johnson,Tyler - McGruder,Rodney - Reed,Willie - Winslow,Justise",54.0,45.0,24.9,9.0,0.361445783133
12669,"201949,203186,204020,1626159,1626196","2,5,5,6,7","Johnson,James - Johnson,Tyler - Reed,Willie - Richardson,Josh - Winslow,Justise",47.1,45.0,23.4,2.1,0.0897435897436
12671,"201950,201962,201967,202087,203076","0,4,8,8,8","Cunningham,Dante - Davis,Anthony - Douglas,Toney - Gee,Alonzo - Holiday,Jrue",41.2,50.4,22.4,-9.2,-0.410714285714
12743,"201956,202326,202682,203463,203492","2,3,4,8,9","Casspi,Omri - Cousins,DeMarcus - McCallum,Ray - McLemore,Ben - Williams,Derrick",52.8,48.8,26.4,4.0,0.151515151515
12756,"201957,202687,202689,203077,203106","0,2,4,5,8","Biyombo,Bismack - Kidd-Gilchrist,Michael - Mullens,Byron - Taylor,Jeff - Walker,Kemba",8.5,10.2,56.4,-1.7,-0.0301418439716
12759,"201959,202703,202710,202734,203926","2,3,4,7,8","Butler,Jimmy - Gibson,Taj - McDermott,Doug - Mirotic,Nikola - Moore,E'Twaun",25.0,37.0,15.5,-12.0,-0.774193548387
12766,"201960,202324,202330,202683,202692","1,2,7,7,9","Burks,Alec - Carroll,DeMarre - Favors,Derrick - Hayward,Gordon - Kanter,Enes",9.7,6.7,26.4,3.0,0.113636363636
12771,"201960,202335,202687,202709,203082","0,3,4,7,9","Biyombo,Bismack - Carroll,DeMarre - Joseph,Cory - Patterson,Patrick - Ross,Terrence",54.0,78.3,41.4,-24.3,-0.586956521739
12780,"201961,202087,202681,202684,203092","0,2,3,7,8","Ellington,Wayne - Gee,Alonzo - Irving,Kyrie - Thompson,Tristan - Zeller,Tyler",31.4,37.5,185.9,-6.1,-0.0328133405056
12781,"201961,202087,202684,203079,203092","0,2,3,7,8","Ellington,Wayne - Gee,Alonzo - Thompson,Tristan - Waiters,Dion - Zeller,Tyler",8.8,12.1,20.4,-3.3,-0.161764705882
12790,"201961,202325,203135,203527,203903","0,3,4,4,9","Clarkson,Jordan - Ellington,Wayne - Johnson,Wesley - Kelly,Ryan - Sacre,Robert",24.9,37.8,17.7,-12.9,-0.728813559322
12792,"201961,202325,203135,203903,204028","0,0,3,4,9","Black,Tarik - Clarkson,Jordan - Ellington,Wayne - Johnson,Wesley - Sacre,Robert",33.9,36.9,17.1,-3.0,-0.175438596491
12794,"201961,202325,203527,203903,204028","0,3,4,4,9","Black,Tarik - Clarkson,Jordan - Ellington,Wayne - Johnson,Wesley - Kelly,Ryan",62.0,83.0,34.0,-21.0,-0.617647058824
12795,"201961,202334,202391,203135,203913","0,2,3,4,9","Brown,Jabari - Davis,Ed - Ellington,Wayne - Lin,Jeremy - Sacre,Robert",39.9,45.0,18.6,-5.1,-0.274193548387
12798,"201961,202334,203135,203903,203913","0,2,3,4,9","Brown,Jabari - Clarkson,Jordan - Davis,Ed - Ellington,Wayne - Sacre,Robert",54.0,63.0,24.6,-9.0,-0.365853658537
12803,"201961,202388,202711,203080,203186","2,2,3,3,6","Bogdanovic,Bojan - Ellington,Wayne - Reed,Willie - Robinson,Thomas - Sloan,Donald",38.1,52.2,20.4,-14.1,-0.691176470588
12809,"201961,202681,202684,203079,203092","0,2,3,7,7","Ellington,Wayne - Irving,Kyrie - Thompson,Tristan - Waiters,Dion - Zeller,Tyler",6.8,5.6,15.0,1.2,0.08
12810,"201961,202711,203080,203186,203499","2,2,3,3,7","Bogdanovic,Bojan - Ellington,Wayne - Larkin,Shane - Reed,Willie - Robinson,Thomas",34.0,36.0,15.5,-2.0,-0.129032258065
12811,"201961,202711,203080,203499,1626178","2,3,3,4,7","Bogdanovic,Bojan - Ellington,Wayne - Hollis-Jefferson,Rondae - Larkin,Shane - Robinson,Thomas",41.0,50.0,19.2,-9.0,-0.46875
12812,"201961,202711,203080,203499,1626191","2,3,3,3,7","Bogdanovic,Bojan - Ellington,Wayne - Larkin,Shane - McCullough,Chris - Robinson,Thomas",32.0,56.0,19.2,-24.0,-1.25
12813,"201961,202711,203156,203499,1626191","1,3,3,3,7","Bogdanovic,Bojan - Ellington,Wayne - Larkin,Shane - McCullough,Chris - Sims,Henry",48.9,63.9,28.2,-15.0,-0.531914893617
12816,"201961,203080,203156,203499,1626178","1,2,3,4,7","Ellington,Wayne - Hollis-Jefferson,Rondae - Larkin,Shane - Robinson,Thomas - Sims,Henry",36.0,21.0,18.8,15.0,0.797872340426
12826,"201961,203135,203527,203903,204028","0,0,3,4,9","Black,Tarik - Clarkson,Jordan - Ellington,Wayne - Kelly,Ryan - Sacre,Robert",209.3,239.4,106.4,-30.1,-0.282894736842
12829,"201961,203527,203903,203913,204028","0,3,4,4,9","Black,Tarik - Brown,Jabari - Clarkson,Jordan - Ellington,Wayne - Kelly,Ryan",32.0,26.0,16.8,6.0,0.357142857143
12850,"201964,203080,203115,203459,203468","2,4,4,6,7","Barton,Will - Claver,Victor - Crabbe,Allen - McCollum,CJ - Robinson,Thomas",32.0,28.0,20.2,4.0,0.19801980198
12851,"201964,203086,203115,203459,203468","3,4,4,6,7","Barton,Will - Claver,Victor - Crabbe,Allen - Leonard,Meyers - McCollum,CJ",52.0,57.0,27.0,-5.0,-0.185185185185
12852,"201965,201986,201988,202709,203382","0,2,5,8,9","Ayres,Jeff - Baynes,Aron - De Colo,Nando - Joseph,Cory - Mills,Patty",39.2,48.4,19.2,-9.2,-0.479166666667
12871,"201967,202734,203076,203093,204025","0,0,4,8,8","Cunningham,Dante - Davis,Anthony - Frazier,Tim - Jones,Terrence - Moore,E'Twaun",43.2,43.2,19.6,0.0,0.0
12873,"201967,202734,203076,203524,204025","0,4,7,8,8","Cunningham,Dante - Davis,Anthony - Frazier,Tim - Hill,Solomon - Moore,E'Twaun",106.2,93.0,43.2,13.2,0.305555555556
12904,"201973,202323,202340,202738,203096","1,3,4,6,7","Bradley,Avery - Jerebko,Jonas - Sullinger,Jared - Thomas,Isaiah - Turner,Evan",55.0,47.3,16.5,7.7,0.466666666667
12909,"201973,202323,202340,203092,203109","0,3,4,7,7","Bradley,Avery - Crowder,Jae - Jerebko,Jonas - Turner,Evan - Zeller,Tyler",33.0,41.7,17.7,-8.7,-0.491525423729
12910,"201973,202323,202340,203092,203935","0,3,4,7,8","Bradley,Avery - Jerebko,Jonas - Smart,Marcus - Turner,Evan - Zeller,Tyler",236.5,226.7,108.7,9.8,0.0901563937443
12912,"201973,202323,202340,203096,203935","1,3,4,7,8","Bradley,Avery - Jerebko,Jonas - Smart,Marcus - Sullinger,Jared - Turner,Evan",44.0,44.0,21.0,0.0,0.0
12913,"201973,202323,202340,203109,203482","2,3,4,7,7","Bradley,Avery - Crowder,Jae - Jerebko,Jonas - Olynyk,Kelly - Turner,Evan",55.9,45.5,24.7,10.4,0.421052631579
12915,"201973,202323,202340,203482,203935","2,3,4,7,8","Bradley,Avery - Jerebko,Jonas - Olynyk,Kelly - Smart,Marcus - Turner,Evan",327.3,258.3,136.5,69.0,0.505494505495
12921,"201973,202323,202738,203092,203935","0,3,6,7,8","Jerebko,Jonas - Smart,Marcus - Thomas,Isaiah - Turner,Evan - Zeller,Tyler",66.4,65.6,28.0,0.8,0.0285714285714
12923,"201973,202323,202738,203096,203935","1,3,6,7,8","Jerebko,Jonas - Smart,Marcus - Sullinger,Jared - Thomas,Isaiah - Turner,Evan",49.5,59.4,27.5,-9.9,-0.36
12924,"201973,202323,202738,203109,203482","2,3,6,7,7","Crowder,Jae - Jerebko,Jonas - Olynyk,Kelly - Thomas,Isaiah - Turner,Evan",33.9,28.8,15.9,5.1,0.320754716981
12927,"201973,202323,202738,203482,203935","2,3,6,7,8","Jerebko,Jonas - Olynyk,Kelly - Smart,Marcus - Thomas,Isaiah - Turner,Evan",91.1,83.6,45.0,7.5,0.166666666667
12930,"201973,202323,203092,203109,203935","0,3,7,7,8","Crowder,Jae - Jerebko,Jonas - Smart,Marcus - Turner,Evan - Zeller,Tyler",83.8,92.0,41.4,-8.2,-0.19806763285
12933,"201973,202323,203092,203482,203935","0,2,3,7,8","Jerebko,Jonas - Olynyk,Kelly - Smart,Marcus - Turner,Evan - Zeller,Tyler",40.0,34.8,19.6,5.2,0.265306122449
12942,"201973,202323,203109,203482,203935","2,3,7,7,8","Crowder,Jae - Jerebko,Jonas - Olynyk,Kelly - Smart,Marcus - Turner,Evan",101.4,78.0,40.5,23.4,0.577777777778
12946,"201973,202323,203482,203935,1626179","2,3,6,7,8","Jerebko,Jonas - Olynyk,Kelly - Rozier,Terry - Smart,Marcus - Turner,Evan",34.0,38.0,22.0,-4.0,-0.181818181818
12948,"201973,202328,202713,203484,203491","2,3,3,4,9","Caldwell-Pope,Kentavious - Jerebko,Jonas - Monroe,Greg - Singler,Kyle - Siva,Peyton",31.0,37.0,17.0,-6.0,-0.352941176471
12954,"201973,202340,202738,203096,203109","1,3,4,6,7","Bradley,Avery - Crowder,Jae - Jerebko,Jonas - Sullinger,Jared - Thomas,Isaiah",54.0,54.0,21.6,0.0,0.0
12956,"201973,202340,202738,203109,203482","2,3,4,6,7","Bradley,Avery - Crowder,Jae - Jerebko,Jonas - Olynyk,Kelly - Thomas,Isaiah",41.9,34.0,19.2,7.9,0.411458333333
12962,"201973,202340,202738,203482,203935","2,3,4,6,8","Bradley,Avery - Jerebko,Jonas - Olynyk,Kelly - Smart,Marcus - Thomas,Isaiah",61.0,53.6,21.4,7.4,0.345794392523
12963,"201973,202340,203092,1626179,1627759","0,3,4,5,6","Bradley,Avery - Brown,Jaylen - Jerebko,Jonas - Rozier,Terry - Zeller,Tyler",42.0,40.2,19.8,1.8,0.0909090909091
12975,"201973,202340,203482,203935,1626179","2,3,4,6,8","Bradley,Avery - Jerebko,Jonas - Olynyk,Kelly - Rozier,Terry - Smart,Marcus",41.0,53.0,21.0,-12.0,-0.571428571429
12985,"201973,202738,203109,203482,203935","2,3,6,7,8","Crowder,Jae - Jerebko,Jonas - Olynyk,Kelly - Smart,Marcus - Thomas,Isaiah",64.8,47.7,26.5,17.1,0.645283018868
12986,"201973,202738,203109,203923,203935","3,5,6,7,8","Crowder,Jae - Jerebko,Jonas - Smart,Marcus - Thomas,Isaiah - Young,James",51.9,46.8,21.6,5.1,0.236111111111
13013,"201975,202325,203088,203135,203527","0,4,4,4,7","Johnson,Wesley - Kelly,Ryan - Marshall,Kendall - Meeks,Jodie - Sacre,Robert",51.2,46.0,20.4,5.2,0.254901960784
13014,"201975,202328,202704,203083,203484","2,2,3,4,9","Caldwell-Pope,Kentavious - Drummond,Andre - Jackson,Reggie - Meeks,Jodie - Monroe,Greg",74.0,90.0,38.0,-16.0,-0.421052631579
13039,"201977,202323,202340,203096,203482","1,2,3,4,7","Bradley,Avery - Olynyk,Kelly - Sullinger,Jared - Thornton,Marcus - Turner,Evan",35.7,21.0,15.4,14.7,0.954545454545
13054,"201977,203096,203109,203923,203935","1,3,5,7,8","Crowder,Jae - Smart,Marcus - Sullinger,Jared - Thornton,Marcus - Young,James",51.0,35.0,20.0,16.0,0.8
13069,"201978,203120,203133,203485,203952","0,4,5,6,9","Brown,Lorenzo - Budinger,Chase - Hamilton,Justin - Hummel,Robbie - Wiggins,Andrew",28.8,31.8,15.0,-3.0,-0.2
13070,"201978,203120,203133,203897,203952","0,4,5,7,9","Budinger,Chase - Hamilton,Justin - Hummel,Robbie - LaVine,Zach - Wiggins,Andrew",63.0,61.0,29.0,2.0,0.0689655172414
13074,"201978,203120,203485,203897,203952","0,4,6,7,9","Brown,Lorenzo - Budinger,Chase - Hamilton,Justin - LaVine,Zach - Wiggins,Andrew",34.0,47.0,16.0,-13.0,-0.8125
13079,"201978,203120,203897,203940,203952","0,2,4,7,9","Budinger,Chase - Hamilton,Justin - LaVine,Zach - Payne,Adreian - Wiggins,Andrew",43.8,55.8,27.6,-12.0,-0.434782608696
13089,"201978,203133,203485,203940,203952","2,4,5,6,9","Brown,Lorenzo - Budinger,Chase - Hummel,Robbie - Payne,Adreian - Wiggins,Andrew",47.0,45.0,18.0,2.0,0.111111111111
13094,"201978,203461,203476,203897,203952","0,2,4,7,9","Bennett,Anthony - Budinger,Chase - Dieng,Gorgui - LaVine,Zach - Wiggins,Andrew",40.0,44.8,19.2,-4.8,-0.25
13099,"201978,203476,203485,203897,203952","0,4,6,7,9","Brown,Lorenzo - Budinger,Chase - Dieng,Gorgui - LaVine,Zach - Wiggins,Andrew",93.0,97.0,48.5,-4.0,-0.0824742268041
13104,"201978,203485,203897,203940,203952","2,4,6,7,9","Brown,Lorenzo - Budinger,Chase - LaVine,Zach - Payne,Adreian - Wiggins,Andrew",66.4,74.4,35.2,-8.0,-0.227272727273
13120,"201985,203133,203144,203476,203498","0,3,5,6,9","Dieng,Gorgui - Hummel,Robbie - Muhammad,Shabazz - Price,A.J. - Shved,Alexey",28.7,26.6,16.1,2.1,0.130434782609
13131,"202083,203084,203552,203939,1626147","1,3,3,5,8","Anderson,Justin - Barnes,Harrison - Curry,Seth - Matthews,Wesley - Powell,Dwight",42.7,56.0,22.4,-13.3,-0.59375
13134,"202087,202681,202684,203079,203092","0,2,7,7,8","Gee,Alonzo - Irving,Kyrie - Thompson,Tristan - Waiters,Dion - Zeller,Tyler",40.1,49.1,430.1,-9.0,-0.0209253661939
13137,"202087,202681,203092,203461,203521","0,2,7,8,8","Bennett,Anthony - Dellavedova,Matthew - Gee,Alonzo - Irving,Kyrie - Zeller,Tyler",45.0,36.9,18.0,8.1,0.45
13142,"202087,203079,203092,203461,203521","0,2,7,8,8","Bennett,Anthony - Dellavedova,Matthew - Gee,Alonzo - Waiters,Dion - Zeller,Tyler",36.0,36.0,17.6,0.0,0.0
13143,"202087,203079,203156,203461,203521","1,2,7,8,8","Bennett,Anthony - Dellavedova,Matthew - Gee,Alonzo - Sims,Henry - Waiters,Dion",30.9,30.0,16.8,0.9,0.0535714285714
13162,"202323,202334,203081,203090,203459","2,4,7,8,9","Crabbe,Allen - Davis,Ed - Harkless,Maurice - Lillard,Damian - Turner,Evan",30.0,56.0,20.0,-26.0,-1.3
13167,"202323,202334,203081,203459,203943","1,2,4,7,9","Crabbe,Allen - Davis,Ed - Lillard,Damian - Turner,Evan - Vonleh,Noah",32.9,58.1,19.6,-25.2,-1.28571428571
13170,"202323,202334,203086,203459,203468","2,3,4,6,7","Crabbe,Allen - Davis,Ed - Leonard,Meyers - McCollum,CJ - Turner,Evan",46.0,56.0,21.6,-10.0,-0.462962962963
13171,"202323,202334,203090,203459,203468","2,4,6,7,8","Crabbe,Allen - Davis,Ed - Harkless,Maurice - McCollum,CJ - Turner,Evan",43.2,33.0,21.6,10.2,0.472222222222
13173,"202323,202334,203459,203468,203943","1,2,4,6,7","Crabbe,Allen - Davis,Ed - McCollum,CJ - Turner,Evan - Vonleh,Noah",48.0,58.8,30.0,-10.8,-0.36
13176,"202323,202340,202738,203092,203109","0,4,6,7,7","Bradley,Avery - Crowder,Jae - Thomas,Isaiah - Turner,Evan - Zeller,Tyler",119.8,121.8,55.0,-2.0,-0.0363636363636
13179,"202323,202340,202738,203096,203109","1,4,6,7,7","Bradley,Avery - Crowder,Jae - Sullinger,Jared - Thomas,Isaiah - Turner,Evan",193.7,133.7,72.5,60.0,0.827586206897
13180,"202323,202340,202738,203096,203482","1,2,4,6,7","Bradley,Avery - Olynyk,Kelly - Sullinger,Jared - Thomas,Isaiah - Turner,Evan",47.2,58.4,24.8,-11.2,-0.451612903226
13181,"202323,202340,202738,203096,203935","1,4,6,7,8","Bradley,Avery - Smart,Marcus - Sullinger,Jared - Thomas,Isaiah - Turner,Evan",64.8,55.8,22.2,9.0,0.405405405405
13182,"202323,202340,202738,203109,203482","2,4,6,7,7","Bradley,Avery - Crowder,Jae - Olynyk,Kelly - Thomas,Isaiah - Turner,Evan",67.0,39.1,23.1,27.9,1.20779220779
13185,"202323,202340,203092,203096,203109","0,1,4,7,7","Bradley,Avery - Crowder,Jae - Sullinger,Jared - Turner,Evan - Zeller,Tyler",141.0,162.0,80.0,-21.0,-0.2625
13186,"202323,202340,203092,203096,203935","0,1,4,7,8","Bradley,Avery - Smart,Marcus - Sullinger,Jared - Turner,Evan - Zeller,Tyler",39.2,38.5,15.4,0.7,0.0454545454545
13188,"202323,202340,203092,203109,203935","0,4,7,7,8","Bradley,Avery - Crowder,Jae - Smart,Marcus - Turner,Evan - Zeller,Tyler",104.0,90.0,40.8,14.0,0.343137254902
13191,"202323,202340,203092,203482,203935","0,2,4,7,8","Bradley,Avery - Olynyk,Kelly - Smart,Marcus - Turner,Evan - Zeller,Tyler",107.9,108.0,46.6,-0.1,-0.00214592274678
13193,"202323,202340,203096,203109,203482","1,2,4,7,7","Bradley,Avery - Crowder,Jae - Olynyk,Kelly - Sullinger,Jared - Turner,Evan",48.8,54.7,24.0,-5.9,-0.245833333333
13194,"202323,202340,203096,203109,203935","1,4,7,7,8","Bradley,Avery - Crowder,Jae - Smart,Marcus - Sullinger,Jared - Turner,Evan",49.6,70.6,24.1,-21.0,-0.871369294606
13201,"202323,202341,202350,202730,203487","0,1,4,7,9","Allen,Lavoy - Anderson,James - Carter-Williams,Michael - Orton,Daniel - Turner,Evan",37.0,50.0,21.8,-13.0,-0.596330275229
13206,"202323,202341,202730,203485,203561","1,4,5,6,7","Allen,Lavoy - Anderson,James - Brown,Lorenzo - Davies,Brandon - Turner,Evan",37.8,31.8,16.8,6.0,0.357142857143
13210,"202323,202343,202730,203138,203473","1,2,3,4,7","Allen,Lavoy - Dedmon,Dewayne - Thompson,Hollis - Turner,Evan - Williams,Elliot",29.2,33.2,16.0,-4.0,-0.25
13211,"202323,202350,202721,202730,203100","0,1,6,7,7","Allen,Lavoy - Morris,Darius - Orton,Daniel - Turner,Evan - Wroten,Tony",30.0,36.0,18.0,-6.0,-0.333333333333
13222,"202323,202738,203092,203109,203935","0,6,7,7,8","Crowder,Jae - Smart,Marcus - Thomas,Isaiah - Turner,Evan - Zeller,Tyler",88.8,106.9,43.0,-18.1,-0.420930232558
13223,"202323,202738,203092,203482,203935","0,2,6,7,8","Olynyk,Kelly - Smart,Marcus - Thomas,Isaiah - Turner,Evan - Zeller,Tyler",27.3,29.4,16.8,-2.1,-0.125
13227,"202323,202738,203096,203109,203482","1,2,6,7,7","Crowder,Jae - Olynyk,Kelly - Sullinger,Jared - Thomas,Isaiah - Turner,Evan",35.0,30.1,17.5,4.9,0.28
13228,"202323,202738,203096,203109,203935","1,6,7,7,8","Crowder,Jae - Smart,Marcus - Sullinger,Jared - Thomas,Isaiah - Turner,Evan",98.8,102.6,45.6,-3.8,-0.0833333333333
13231,"202323,202738,203109,203482,203935","2,6,7,7,8","Crowder,Jae - Olynyk,Kelly - Smart,Marcus - Thomas,Isaiah - Turner,Evan",78.4,80.0,32.0,-1.6,-0.05
13236,"202323,203081,203086,203459,203943","1,3,4,7,9","Crabbe,Allen - Leonard,Meyers - Lillard,Damian - Turner,Evan - Vonleh,Noah",25.8,33.0,15.6,-7.2,-0.461538461538
13239,"202323,203081,203090,203459,203486","0,4,7,8,9","Crabbe,Allen - Harkless,Maurice - Lillard,Damian - Plumlee,Mason - Turner,Evan",100.8,92.4,42.0,8.4,0.2
13241,"202323,203081,203090,203468,203486","0,6,7,8,9","Harkless,Maurice - Lillard,Damian - McCollum,CJ - Plumlee,Mason - Turner,Evan",102.2,113.4,37.1,-11.2,-0.301886792453
13251,"202323,203086,203459,203468,203943","1,3,4,6,7","Crabbe,Allen - Leonard,Meyers - McCollum,CJ - Turner,Evan - Vonleh,Noah",60.9,60.2,24.5,0.7,0.0285714285714
13257,"202323,203092,203109,203482,203935","0,2,7,7,8","Crowder,Jae - Olynyk,Kelly - Smart,Marcus - Turner,Evan - Zeller,Tyler",42.0,26.0,17.5,16.0,0.914285714286
13269,"202324,202330,202344,202407,203957","1,2,3,7,8","Booker,Trevor - Exum,Dante - Favors,Derrick - Hayward,Gordon - Millsap,Elijah",43.8,40.8,18.0,3.0,0.166666666667
13271,"202324,202330,202344,202692,203504","1,2,6,7,9","Booker,Trevor - Burke,Trey - Burks,Alec - Favors,Derrick - Hayward,Gordon",245.5,241.7,118.3,3.8,0.0321217244294
13273,"202324,202330,202344,202692,203918","1,2,7,9,9","Booker,Trevor - Burks,Alec - Favors,Derrick - Hayward,Gordon - Hood,Rodney",68.9,89.7,37.7,-20.8,-0.551724137931
13277,"202324,202330,202344,202714,203918","1,2,6,7,9","Booker,Trevor - Favors,Derrick - Hayward,Gordon - Hood,Rodney - Mack,Shelvin",105.6,110.0,52.8,-4.4,-0.0833333333333
13278,"202324,202330,202344,202714,204060","1,2,3,6,7","Booker,Trevor - Favors,Derrick - Hayward,Gordon - Ingles,Joe - Mack,Shelvin",34.3,41.3,16.8,-7.0,-0.416666666667
13279,"202324,202330,202344,203187,203504","1,2,4,6,7","Booker,Trevor - Burke,Trey - Favors,Derrick - Hayward,Gordon - Johnson,Christapher",49.0,50.0,22.0,-1.0,-0.0454545454545
13280,"202324,202330,202344,203187,203526","1,2,4,6,7","Booker,Trevor - Favors,Derrick - Hayward,Gordon - Johnson,Christapher - Neto,Raul",24.0,34.4,15.2,-10.4,-0.684210526316
13283,"202324,202330,202344,203504,203918","1,2,6,7,9","Booker,Trevor - Burke,Trey - Favors,Derrick - Hayward,Gordon - Hood,Rodney",208.1,175.9,91.0,32.2,0.353846153846
13285,"202324,202330,202344,203504,204060","1,2,3,6,7","Booker,Trevor - Burke,Trey - Favors,Derrick - Hayward,Gordon - Ingles,Joe",91.9,86.5,43.8,5.4,0.123287671233
13286,"202324,202330,202344,203526,203918","1,2,6,7,9","Booker,Trevor - Favors,Derrick - Hayward,Gordon - Hood,Rodney - Neto,Raul",76.0,87.4,41.8,-11.4,-0.272727272727
13287,"202324,202330,202344,203526,204060","1,2,3,6,7","Booker,Trevor - Favors,Derrick - Hayward,Gordon - Ingles,Joe - Neto,Raul",45.6,27.6,20.4,18.0,0.882352941176
13290,"202324,202330,202344,203957,204060","1,2,3,3,7","Booker,Trevor - Exum,Dante - Favors,Derrick - Hayward,Gordon - Ingles,Joe",121.8,117.6,52.5,4.2,0.08
13291,"202324,202330,202379,202692,203197","1,2,5,7,9","Burks,Alec - Evans,Jeremy - Favors,Derrick - Garrett,Diante - Hayward,Gordon",29.9,35.1,22.1,-5.2,-0.235294117647
