,lineup_ids,clusters,lineup_names,points_scored,points_allowed,MIN_TOT,net,net_per_min
265,"101107,202390,202687,203148,203798","0,3,4,6,7","Biyombo,Bismack - Hairston,PJ - Neal,Gary - Roberts,Brian - Williams,Marvin",81.9,69.3,38.7,12.6,0.325581395349
268,"101107,202391,202689,203087,203469","2,3,8,9,9","Lamb,Jeremy - Lin,Jeremy - Walker,Kemba - Williams,Marvin - Zeller,Cody",33.0,36.0,18.0,-3.0,-0.166666666667
271,"101107,202391,202689,203469,203798","2,3,4,8,9","Hairston,PJ - Lin,Jeremy - Walker,Kemba - Williams,Marvin - Zeller,Cody",153.9,197.1,78.3,-43.2,-0.551724137931
296,"101108,200755,201145,201599,201601","2,4,5,7,9","Green,Jeff - Jordan,DeAndre - Mbah a Moute,Luc - Paul,Chris - Redick,JJ",218.7,199.8,94.5,18.9,0.2
298,"101108,200755,201145,201599,202325","2,4,4,7,9","Green,Jeff - Johnson,Wesley - Jordan,DeAndre - Paul,Chris - Redick,JJ",109.2,102.0,46.8,7.2,0.153846153846
301,"101108,200755,201150,201599,202706","2,2,4,8,9","Hamilton,Jordan - Hawes,Spencer - Jordan,DeAndre - Paul,Chris - Redick,JJ",64.0,47.0,26.6,17.0,0.639097744361
303,"101108,200755,201162,201599,201933","2,2,4,4,9","Dudley,Jared - Griffin,Blake - Jordan,DeAndre - Paul,Chris - Redick,JJ",649.6,603.2,289.6,46.4,0.160220994475
311,"101108,200755,201599,201601,201933","2,2,4,5,9","Griffin,Blake - Jordan,DeAndre - Mbah a Moute,Luc - Paul,Chris - Redick,JJ",1392.6,1130.6,601.6,262.0,0.435505319149
312,"101108,200755,201599,201601,202325","2,4,4,5,9","Johnson,Wesley - Jordan,DeAndre - Mbah a Moute,Luc - Paul,Chris - Redick,JJ",333.5,284.2,159.7,49.3,0.308703819662
317,"101108,200755,201599,201933,202325","2,2,4,4,9","Griffin,Blake - Johnson,Wesley - Jordan,DeAndre - Paul,Chris - Redick,JJ",217.6,193.8,100.3,23.8,0.237288135593
318,"101108,200755,201599,201933,202362","2,2,4,6,9","Griffin,Blake - Jordan,DeAndre - Paul,Chris - Redick,JJ - Stephenson,Lance",379.2,318.4,155.2,60.8,0.39175257732
319,"101108,200755,201599,201933,203085","2,2,4,6,9","Griffin,Blake - Jordan,DeAndre - Paul,Chris - Redick,JJ - Rivers,Austin",70.0,60.4,29.0,9.6,0.331034482759
