player_id,age,display_name,dleague_flag,first_name,height,last_name,position,roster_status,season_exp,team_id,team_name,weight,attempt_RA,attempt_corner_3,attempt_mid,attempt_non_corner_3,attempt_paint,made_RA,made_corner_3,made_mid,made_non_corner_3,made_paint,ast,blk,blk_a,dreb,fta,ftm,gp,min_game,oreb,pf,pfd,reb,stl,tov,d_fga_mid,d_fga_overall,d_fga_paint,d_fga_perim,d_fga_threes,d_fgm_mid,d_fgm_overall,d_fgm_paint,d_fgm_perim,d_fgm_threes,d_freq_mid,d_freq_paint,d_freq_perim,d_freq_threes,dreb_pos,oreb_pos,pos
2430,12786,Carlos Boozer,N,Carlos,81,Boozer,Forward,Active,12,1610612747,Lakers,258,310,0,304,0,129,197,0,123,0,51,1.3,0.2,0.9,5.2,2.1,1.3,71.0,23.8,1.6,2.6,1.5,6.8,0.6,1.3,1.43,7.67,2.41,3.83,1.84,0.5,3.5,1.59,1.41,0.66,0.186,0.315,0.499,0.24,0.108,0.032,3361.156
2440,13407,Matt Barnes,N,Matt,79,Barnes,Forward,Active,13,1610612758,Kings,226,189,180,28,195,31,121,68,10,68,10,1.5,0.7,0.4,3.3,1.3,1.0,76.0,29.9,0.7,3.2,1.2,4.0,0.9,1.1,1.96,10.86,2.36,6.54,4.45,0.81,4.63,1.49,2.33,1.57,0.181,0.217,0.602,0.41,0.055,0.011,4566.568
2446,13698,Rasual Butler,Y,Rasual,0,Butler,,Inactive,13,0,,0,81,100,169,135,32,51,41,62,50,14,0.8,0.3,0.2,2.3,0.9,0.7,75.0,20.1,0.4,1.3,0.7,2.6,0.4,0.6,1.8,8.1,1.84,4.46,2.68,0.72,3.57,1.26,1.59,0.91,0.222,0.227,0.551,0.331,0.057,0.009,2857.84
2449,13355,Luis Scola,N,Luis,81,Scola,Forward,Active,9,1610612751,Nets,241,263,11,257,9,102,154,4,100,1,41,1.3,0.2,0.6,4.8,2.8,2.0,81.0,20.5,1.7,2.4,2.7,6.5,0.6,1.2,1.83,6.68,2.11,2.74,1.34,0.86,3.03,1.16,1.01,0.39,0.274,0.316,0.41,0.2,0.115,0.041,3219.972
2457,13546,Jannero Pargo,Y,Jannero,0,Pargo,,Inactive,10,0,,0,1,3,12,19,0,1,3,5,6,0,0.9,0.0,0.1,0.3,0.2,0.2,9.0,8.1,0.0,0.9,0.6,0.3,0.0,0.3,0.58,3.43,0.14,2.71,1.57,0.14,1.14,0.14,0.86,0.57,0.166,0.042,0.792,0.458,0.021,0.0,111.44
2501,13337,Reggie Evans,N,Reggie,80,Evans,Center-Forward,Active,12,1610612758,Kings,245,99,1,5,1,31,52,0,1,0,5,0.7,0.1,0.7,4.3,2.1,1.3,47.0,16.3,2.1,1.9,1.7,6.4,0.5,1.0,1.31,6.34,2.89,2.14,0.68,0.63,3.41,2.05,0.73,0.3,0.208,0.455,0.337,0.108,0.133,0.064,1299.392
2544,11650,LeBron James,N,LeBron,80,James,Forward,Active,13,1610612739,Cavaliers,250,455,41,343,298,142,317,15,127,105,60,7.4,0.7,0.7,5.3,7.7,5.4,69.0,36.1,0.7,2.0,6.0,6.0,1.6,3.9,1.09,7.88,2.28,4.51,3.03,0.38,3.38,1.37,1.63,0.99,0.138,0.289,0.573,0.384,0.074,0.01,4818.804
2546,11865,Carmelo Anthony,N,Carmelo,80,Anthony,Forward,Active,13,1610612752,Knicks,240,190,17,369,162,68,108,11,157,50,32,3.1,0.4,0.9,4.8,5.9,4.7,40.0,35.7,1.8,2.2,5.1,6.6,1.0,2.2,1.2,8.92,2.18,5.54,3.79,0.53,4.1,1.44,2.13,1.59,0.135,0.244,0.621,0.425,0.069,0.026,2159.9
2547,11931,Chris Bosh,N,Chris,83,Bosh,Forward,Active,13,1610612748,Heat,235,135,20,345,148,97,71,7,160,56,49,2.2,0.6,0.7,6.0,5.3,4.1,44.0,35.4,1.0,1.6,3.5,7.0,0.9,2.2,2.8,12.82,4.82,5.2,2.39,1.0,6.05,3.05,2.0,0.95,0.218,0.376,0.406,0.186,0.089,0.015,2746.136
2548,12728,Dwyane Wade,N,Dwyane,76,Wade,Guard,Active,13,1610612741,Bulls,220,266,18,476,84,240,178,6,192,23,110,4.8,0.3,0.7,2.6,6.0,4.6,62.0,31.8,0.9,1.7,4.1,3.5,1.2,3.4,1.06,7.62,1.97,4.59,3.18,0.33,3.05,1.21,1.51,1.03,0.14,0.258,0.602,0.417,0.042,0.015,3353.508
2549,12627,Chris Kaman,N,Chris,84,Kaman,Center,Active,13,1610612757,Trail Blazers,265,245,0,186,0,118,151,0,83,0,49,0.9,0.7,0.5,4.5,1.4,1.0,74.0,18.9,2.0,1.9,1.3,6.5,0.2,1.5,2.15,8.56,4.49,1.92,0.56,0.83,4.16,2.58,0.75,0.22,0.251,0.525,0.224,0.066,0.121,0.054,2574.752
2550,13108,Kirk Hinrich,N,Kirk,76,Hinrich,Guard,Active,13,1610612737,Hawks,190,52,65,119,104,41,27,25,42,34,14,2.2,0.2,0.4,1.5,0.8,0.5,66.0,24.4,0.3,2.2,1.0,1.8,0.7,1.1,1.89,8.24,1.73,4.62,2.48,0.79,3.58,1.0,1.79,0.98,0.229,0.21,0.561,0.301,0.032,0.006,3189.216
