,age,display_name,dleague_flag,first_name,height,last_name,position,roster_status,season_exp,team_id,team_name,weight,attempt_RA,attempt_corner_3,attempt_mid,attempt_non_corner_3,attempt_paint,made_RA,made_corner_3,made_mid,made_non_corner_3,made_paint,ast,blk,blk_a,dreb,fta,ftm,gp,min_game,oreb,pf,pfd,reb,stl,tov,d_fga_mid,d_fga_overall,d_fga_paint,d_fga_perim,d_fga_threes,d_fgm_mid,d_fgm_overall,d_fgm_paint,d_fgm_perim,d_fgm_threes,d_freq_mid,d_freq_paint,d_freq_perim,d_freq_threes,blk_pos,dreb_pos,oreb_pos,stl_pos,ast_shot_made,pos,player_id
30,8810,Anthony Brown,Y,Anthony,79,Brown,Forward,Active,1,1610612740,Pelicans,210,18,22,27,48,11,7,7,10,13,2,0.7,0.2,0.3,2.1,0.7,0.6,29.0,20.6,0.3,1.2,0.6,2.4,0.5,0.5,1.52,8.74,2.33,4.89,3.04,0.63,3.96,1.63,1.7,1.04,0.174,0.267,0.559,0.347,0.004,0.05,0.007,0.011,32,1167.264,1626148
31,8337,Montrezl Harrell,Y,Montrezl,80,Harrell,Forward,Active,1,1610612745,Rockets,240,65,0,7,1,17,46,0,2,0,10,0.4,0.3,0.2,1.0,1.2,0.6,39.0,9.7,0.6,1.2,0.8,1.7,0.3,0.4,1.23,5.52,1.32,2.97,1.74,0.39,2.39,0.94,1.06,0.52,0.222,0.24,0.538,0.316,0.014,0.05,0.031,0.014,37,681.732,1626149
32,8062,Andrew Harrison,Y,Andrew,78,Harrison,Guard,Active,0,1610612763,Grizzlies,213,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1626150
33,8062,Aaron Harrison,Y,Aaron,78,Harrison,Guard,Active,1,1610612766,Hornets,210,5,4,4,6,0,2,1,0,2,0,0.1,0.0,0.0,0.5,0.6,0.2,21.0,4.4,0.2,0.5,0.4,0.7,0.3,0.2,0.36,1.64,0.14,1.14,1.07,0.07,0.5,0.0,0.43,0.43,0.217,0.087,0.696,0.652,0.0,0.057,0.021,0.031,4,190.216,1626151
34,8977,Delon Wright,Y,Delon,77,Wright,Guard,Active,1,1610612761,Raptors,190,43,2,10,11,14,24,0,3,5,4,1.1,0.1,0.3,1.1,1.3,1.0,27.0,8.5,0.3,0.3,0.8,1.4,0.3,0.6,0.44,3.5,0.89,2.17,1.44,0.16,1.44,0.5,0.78,0.5,0.127,0.254,0.619,0.413,0.007,0.065,0.018,0.018,6,441.44,1626153
35,8431,RJ Hunter,Y,RJ,77,Hunter,Guard,Active,1,1610612741,Bulls,185,13,24,18,39,4,8,7,8,12,1,0.4,0.1,0.1,1.0,0.2,0.2,36.0,8.7,0.1,0.8,0.3,1.0,0.4,0.3,0.63,2.74,0.67,1.44,0.81,0.26,1.3,0.48,0.56,0.3,0.23,0.243,0.527,0.297,0.006,0.054,0.003,0.021,27,526.42,1626154
36,8235,Sam Dekker,Y,Sam,81,Dekker,Forward,Active,1,1610612745,Rockets,230,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.3,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,3.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.667,0.0,0.0,0.075,0.0,0.075,0,8.76,1626155
37,7579,D'Angelo Russell,N,D'Angelo,77,Russell,Guard,Active,1,1610612747,Lakers,195,198,55,237,312,152,113,19,85,110,64,3.3,0.2,0.6,2.8,2.4,1.8,80.0,28.2,0.6,1.8,2.2,3.4,1.2,2.5,1.79,10.18,2.9,5.49,3.62,0.68,4.82,2.18,1.96,1.24,0.175,0.285,0.54,0.356,0.003,0.049,0.01,0.02,161,4494.268,1626156
38,7679,Karl-Anthony Towns,N,Karl-Anthony,84,Towns,Center,Active,1,1610612750,Timberwolves,244,440,9,410,79,215,294,2,195,28,106,2.0,1.7,0.8,7.7,3.4,2.7,82.0,32.0,2.8,3.0,3.0,10.5,0.7,2.2,2.92,13.25,6.65,3.68,1.93,1.11,6.31,3.77,1.43,0.74,0.22,0.502,0.278,0.145,0.026,0.118,0.043,0.011,424,5313.04,1626157
39,8440,Richaun Holmes,N,Richaun,82,Holmes,Forward,Active,1,1610612755,76ers,245,135,4,16,40,27,93,1,6,7,7,0.6,0.8,0.4,1.4,1.5,1.0,51.0,13.8,1.2,1.8,1.3,2.6,0.4,0.6,1.22,5.84,2.42,2.2,0.9,0.76,2.94,1.36,0.82,0.28,0.209,0.414,0.377,0.154,0.027,0.049,0.042,0.013,84,1065.42,1626158
40,7547,Justise Winslow,N,Justise,79,Winslow,Forward,Active,1,1610612748,Heat,225,201,86,81,29,64,115,23,28,9,20,1.5,0.3,0.6,4.1,1.5,1.0,78.0,28.6,1.0,2.4,1.2,5.2,0.9,1.2,1.89,9.85,2.69,5.27,3.18,0.66,4.21,1.65,1.9,1.04,0.192,0.273,0.535,0.323,0.006,0.072,0.018,0.015,126,4291.136,1626159
41,8498,Willie Cauley-Stein,N,Willie,84,Cauley-Stein,Center,Active,1,1610612758,Kings,240,225,2,38,0,74,146,0,12,0,33,0.6,1.0,0.3,3.3,1.9,1.2,66.0,21.4,2.0,2.2,1.3,5.3,0.7,0.7,1.53,9.48,3.06,4.89,2.85,0.66,4.35,1.78,1.91,1.05,0.161,0.323,0.516,0.3,0.022,0.073,0.045,0.016,145,2810.744,1626161
42,7655,Kelly Oubre,N,Kelly,79,Oubre,Forward,Active,1,1610612764,Wizards,205,93,24,18,55,21,55,7,4,18,6,0.2,0.1,0.3,1.7,0.8,0.5,63.0,10.7,0.4,1.6,0.8,2.1,0.3,0.5,0.66,5.02,1.55,2.81,1.79,0.27,2.55,1.15,1.13,0.68,0.132,0.309,0.559,0.356,0.005,0.077,0.018,0.016,59,1219.012,1626162
43,8634,Frank Kaminsky,N,Frank,84,Kaminsky,Center,Active,1,1610612766,Hornets,240,185,26,50,176,88,95,7,15,61,37,1.2,0.5,0.6,3.3,1.8,1.3,81.0,21.1,0.9,1.6,1.3,4.1,0.5,0.7,1.67,9.0,3.1,4.23,2.54,0.63,4.22,1.9,1.69,1.01,0.185,0.344,0.471,0.283,0.012,0.076,0.02,0.011,152,3448.616,1626163
44,7329,Devin Booker,N,Devin,78,Booker,Guard,Active,1,1610612756,Suns,206,207,57,274,232,97,125,21,103,78,40,2.6,0.3,0.8,2.1,3.4,2.8,76.0,27.7,0.4,3.0,3.2,2.5,0.6,2.1,1.59,9.52,2.55,5.38,3.49,0.73,4.62,1.67,2.22,1.49,0.167,0.268,0.565,0.367,0.005,0.036,0.006,0.01,200,3876.236,1626164
45,8143,Cameron Payne,Y,Cameron,75,Payne,Guard,Active,1,1610612760,Thunder,185,44,31,71,80,52,20,11,34,25,24,1.9,0.1,0.2,1.3,0.4,0.3,57.0,12.2,0.2,1.4,0.5,1.5,0.6,0.8,1.04,4.84,1.29,2.51,1.61,0.36,2.2,0.92,0.92,0.63,0.215,0.266,0.519,0.333,0.004,0.053,0.006,0.025,39,1302.296,1626166
46,7549,Myles Turner,N,Myles,83,Turner,Center-Forward,Active,1,1610612754,Pacers,243,170,2,288,12,58,116,1,118,2,27,0.7,1.4,0.4,4.4,2.0,1.5,60.0,22.8,1.1,2.6,2.0,5.5,0.4,1.1,2.24,11.63,5.88,3.51,2.02,0.96,5.1,2.97,1.17,0.69,0.192,0.506,0.302,0.173,0.03,0.093,0.024,0.009,211,2704.22,1626167
47,7689,Trey Lyles,N,Trey,82,Lyles,Forward,Active,1,1610612762,Jazz,234,119,71,118,57,71,64,31,46,18,32,0.7,0.2,0.2,3.0,1.0,0.7,80.0,17.3,0.7,1.4,1.0,3.7,0.3,0.8,1.5,7.19,2.48,3.21,1.92,0.69,3.29,1.48,1.12,0.63,0.208,0.345,0.447,0.267,0.007,0.09,0.022,0.01,130,2432.54,1626168
48,7483,Stanley Johnson,N,Stanley,79,Johnson,Forward,Active,1,1610612765,Pistons,245,172,84,126,119,97,93,32,39,31,30,1.6,0.2,0.5,3.4,1.4,1.1,73.0,23.1,0.8,2.4,1.1,4.2,0.8,1.6,1.54,6.64,1.42,3.68,2.08,0.68,3.0,0.94,1.38,0.76,0.233,0.213,0.554,0.314,0.003,0.072,0.017,0.016,112,3447.1,1626169
49,8811,Jerian Grant,N,Jerian,76,Grant,Guard,Active,1,1610612741,Bulls,198,162,11,87,89,42,84,5,35,17,13,2.3,0.1,0.4,1.6,1.6,1.3,76.0,16.6,0.3,1.3,1.5,1.9,0.7,1.1,0.96,5.94,1.63,3.35,2.08,0.37,2.69,1.14,1.18,0.76,0.161,0.275,0.564,0.351,0.004,0.047,0.009,0.02,60,2427.316,1626170
50,7957,Bobby Portis,N,Bobby,83,Portis,Forward,Active,1,1610612741,Bulls,246,157,8,151,44,76,89,0,53,16,28,0.8,0.4,0.4,3.5,1.1,0.8,62.0,17.8,2.0,1.6,1.1,5.4,0.4,0.9,1.52,7.66,2.63,3.51,1.8,0.62,3.14,1.59,0.93,0.46,0.199,0.343,0.458,0.235,0.01,0.096,0.055,0.011,122,1997.256,1626171
51,7596,Kevon Looney,Y,Kevon,81,Looney,Forward,Active,1,1610612744,Warriors,220,2,0,2,2,1,2,0,1,1,0,0.0,0.0,0.2,1.2,0.0,0.0,5.0,4.1,0.8,0.4,0.0,2.0,0.0,0.2,0.4,3.0,1.0,1.6,1.4,-1.11022302463e-16,1.4,0.6,0.8,0.6,0.134,0.333,0.533,0.467,0.0,0.14,0.093,0.0,2,38.416,1626172
52,7404,Rashad Vaughn,Y,Rashad,78,Vaughn,Guard,Active,1,1610612749,Bucks,202,49,70,50,76,20,15,18,17,25,6,0.6,0.2,0.4,1.1,0.2,0.2,70.0,14.3,0.2,1.0,0.3,1.3,0.4,0.4,1.0,4.68,1.19,2.49,1.6,0.43,2.34,0.88,1.03,0.59,0.214,0.255,0.531,0.343,0.008,0.038,0.005,0.014,73,1838.272,1626173
53,7728,Christian Wood,Y,Christian,83,Wood,Forward,Active,1,1610612766,Hornets,220,28,2,9,9,5,16,1,2,3,0,0.2,0.4,0.6,1.5,1.2,0.8,17.0,8.5,0.8,0.6,1.2,2.2,0.3,0.1,0.8,4.93,2.33,1.8,0.93,0.47,2.2,1.0,0.73,0.33,0.162,0.473,0.365,0.189,0.022,0.079,0.041,0.016,15,156.696,1626174
54,8173,Jordan Mickey,Y,Jordan,80,Mickey,Forward,Active,1,1610612738,Celtics,235,18,0,3,0,1,7,0,0,0,1,0.1,0.7,0.3,0.4,0.6,0.3,16.0,3.6,0.4,0.3,0.4,0.8,0.0,0.1,0.45,2.45,1.09,0.91,0.64,0.18,0.82,0.64,0.0,0.0,0.186,0.444,0.37,0.259,0.096,0.061,0.053,0.0,4,83.032,1626175
55,9124,Rakeem Christmas,Y,Rakeem,81,Christmas,Forward,Active,1,1610612754,Pacers,250,2,0,0,0,0,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.1,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.083,0.0,2,10.0,1626176
56,7995,Rondae Hollis-Jefferson,N,Rondae,79,Hollis-Jefferson,Forward,Active,1,1610612751,Nets,214,67,5,42,9,15,36,1,19,3,4,1.5,0.6,0.3,4.0,1.8,1.3,29.0,21.2,1.3,2.1,1.6,5.3,1.3,0.9,1.21,8.83,3.07,4.55,3.1,0.48,4.17,1.83,1.86,1.31,0.136,0.348,0.516,0.352,0.013,0.091,0.031,0.031,37,1158.348,1626178
57,8287,Terry Rozier,Y,Terry,74,Rozier,Guard,Active,1,1610612738,Celtics,190,33,9,34,18,12,11,3,8,3,4,0.9,0.0,0.1,1.0,0.3,0.2,39.0,8.0,0.6,0.6,0.4,1.6,0.2,0.5,0.62,2.76,0.9,1.24,0.79,0.24,1.48,0.62,0.62,0.38,0.225,0.325,0.45,0.288,0.002,0.06,0.037,0.009,12,536.416,1626179
58,8583,Norman Powell,Y,Norman,76,Powell,Guard,Active,1,1610612761,Raptors,215,74,42,49,46,17,41,21,19,15,1,1.0,0.2,0.5,1.9,1.1,0.9,49.0,14.8,0.3,1.2,0.9,2.3,0.6,0.7,1.12,6.26,1.32,3.82,2.39,0.34,2.66,0.79,1.53,1.03,0.181,0.21,0.609,0.382,0.007,0.066,0.011,0.02,55,1419.124,1626181
59,8696,Branden Dawson,Y,Branden,78,Dawson,Forward,Active,1,1610612746,Clippers,225,4,0,0,0,1,2,0,0,0,0,0.0,0.2,0.3,0.3,0.2,0.2,6.0,4.8,0.3,0.3,0.2,0.7,0.0,0.0,0.4,1.8,1.2,0.2,0.2,0.2,1.0,0.8,0.0,0.0,0.222,0.667,0.111,0.111,0.018,0.036,0.036,0.0,1,51.2,1626183
60,8219,Jarell Martin,Y,Jarell,82,Martin,Forward,Active,1,1610612763,Grizzlies,239,57,0,39,2,18,32,0,16,0,6,0.6,0.3,0.6,1.7,2.3,1.7,27.0,14.1,1.4,2.1,1.6,3.2,0.3,0.7,1.16,5.64,2.16,2.32,1.48,0.56,2.64,1.12,0.96,0.6,0.206,0.383,0.411,0.262,0.009,0.061,0.051,0.01,31,502.696,1626185
