,player_id,display_name,cluster
422,203117,Doron Lamb,6
423,203118,Mike Scott,5
424,203120,Justin Hamilton,4
425,203121,Darius Miller,6
426,203123,Kostas Papanikolaou,5
427,203124,Kyle O'Quinn,3
428,203128,Furkan Aldemir,4
431,203133,Robbie Hummel,5
432,203135,Robert Sacre,4
434,203138,Hollis Thompson,6
436,203141,Mirza Teletovic,2
437,203142,Chris Copeland,5
438,203143,Pablo Prigioni,10
439,203144,Alexey Shved,9
440,203145,Kent Bazemore,1
443,203148,Brian Roberts,8
444,203156,Henry Sims,4
446,203186,Willie Reed,4
447,203187,Chris Johnson,6
448,203197,Diante Garrett,6
449,203200,Justin Holiday,6
450,203210,JaMychal Green,1
455,203382,Aron Baynes,3
456,203457,Nerlens Noel,4
457,203458,Alex Len,3
458,203459,Allen Crabbe,6
459,203460,Andre Roberson,5
460,203461,Anthony Bennett,2
461,203462,Archie Goodwin,9
462,203463,Ben McLemore,6
464,203468,CJ McCollum,10
465,203469,Cody Zeller,4
466,203471,Dennis Schroder,8
467,203473,Dewayne Dedmon,3
470,203476,Gorgui Dieng,3
471,203477,Isaiah Canaan,10
474,203481,Jeff Withey,3
475,203482,Kelly Olynyk,2
476,203484,Kentavious Caldwell-Pope,6
477,203485,Lorenzo Brown,7
478,203486,Mason Plumlee,3
479,203487,Michael Carter-Williams,7
480,203488,Mike Muscala,2
481,203489,Nate Wolters,9
482,203490,Otto Porter,6
484,203492,Ray McCallum,10
485,203493,Reggie Bullock,6
487,203496,Robert Covington,6
488,203497,Rudy Gobert,3
489,203498,Shabazz Muhammad,6
490,203499,Shane Larkin,9
491,203500,Steven Adams,4
492,203501,Tim Hardaway Jr.,6
494,203503,Tony Snell,5
495,203504,Trey Burke,10
497,203506,Victor Oladipo,7
498,203507,Giannis Antetokounmpo,1
499,203508,Sergey Karasev,6
503,203515,Phil Pressey,8
504,203516,James Ennis,6
508,203521,Matthew Dellavedova,10
509,203524,Solomon Hill,1
510,203526,Raul Neto,10
511,203527,Ryan Kelly,2
512,203530,Joffrey Lauvergne,4
516,203544,Pero Antic,4
518,203546,Ian Clark,6
520,203552,Seth Curry,1
521,203561,Brandon Davies,5
526,203584,Troy Daniels,6
528,203613,Jonathon Simmons,6
530,203798,PJ Hairston,6
535,203894,Shabazz Napier,9
537,203897,Zach LaVine,9
538,203898,Tyler Ennis,9
539,203900,Markel Brown,6
540,203901,Elfrid Payton,7
542,203903,Jordan Clarkson,9
544,203909,KJ McDaniels,6
547,203913,Jabari Brown,6
548,203914,Gary Harris,6
549,203915,Spencer Dinwiddie,8
550,203917,Nik Stauskas,6
551,203918,Rodney Hood,10
553,203921,Cleanthony Early,6
554,203922,Glenn Robinson,6
555,203923,James Young,6
556,203924,Jerami Grant,5
557,203925,Joe Harris,6
558,203926,Doug McDermott,6
559,203928,Cory Jefferson,4
560,203930,Sean Kilpatrick,6
561,203932,Aaron Gordon,1
562,203933,TJ Warren,6
564,203935,Marcus Smart,10
565,203937,Kyle Anderson,1
566,203939,Dwight Powell,2
567,203940,Adreian Payne,2
568,203943,Noah Vonleh,2
569,203944,Julius Randle,1
572,203948,Johnny O'Bryant III,5
576,203952,Andrew Wiggins,9
577,203953,Jabari Parker,6
580,203956,Mitch McGary,4
581,203957,Dante Exum,6
583,203960,JaKarr Sampson,6
589,203991,Clint Capela,3
590,203994,Jusuf Nurkic,3
593,203999,Nikola Jokic,4
594,204001,Kristaps Porzingis,5
596,204014,Damjan Rudez,6
597,204020,Tyler Johnson,10
600,204025,Tim Frazier,7
601,204028,Tarik Black,4
603,204037,Travis Wear,9
604,204038,Langston Galloway,10
606,204060,Joe Ingles,6
612,204456,TJ McConnell,8
613,1626143,Jahlil Okafor,4
614,1626144,Emmanuel Mudiay,9
615,1626145,Tyus Jones,9
617,1626147,Justin Anderson,6
618,1626148,Anthony Brown,6
625,1626156,D'Angelo Russell,9
626,1626157,Karl-Anthony Towns,4
627,1626158,Richaun Holmes,4
628,1626159,Justise Winslow,6
629,1626161,Willie Cauley-Stein,5
630,1626162,Kelly Oubre,6
631,1626163,Frank Kaminsky,5
632,1626164,Devin Booker,9
633,1626166,Cameron Payne,9
634,1626167,Myles Turner,4
635,1626168,Trey Lyles,5
636,1626169,Stanley Johnson,10
637,1626170,Jerian Grant,9
638,1626171,Bobby Portis,4
640,1626173,Rashad Vaughn,6
644,1626178,Rondae Hollis-Jefferson,6
645,1626179,Terry Rozier,10
646,1626181,Norman Powell,6
648,1626185,Jarell Martin,5
652,1626196,Josh Richardson,6
656,1626204,Larry Nance Jr.,5
657,1626209,Mario Hezonja,6
662,1626246,Boban Marjanovic,3
666,1626257,Salah Mejri,4
669,1626273,Marcelo Huertas,9
