,FGA_l,FTA_l,OREB_l,TOV_l,lineup_ids,lineup_names,points_allowed,points_scored
85,2.0,2.0,0.0,0.0,203507 - 201563 - 203521 - 203089 - 1891,"Antetokounmpo,Giannis - Beasley,Michael - Dellavedova,Matthew - Henson,John - Terry,Jason",2.0,5.0
86,4.0,2.0,2.0,0.0,203507 - 203521 - 203953 - 203141 - 1891,"Antetokounmpo,Giannis - Dellavedova,Matthew - Parker,Jabari - Teletovic,Mirza - Terry,Jason",0.0,7.0
87,1.0,2.0,0.0,0.0,1627763 - 203521 - 202328 - 203503 - 203141,"Brogdon,Malcolm - Dellavedova,Matthew - Monroe,Greg - Snell,Tony - Teletovic,Mirza",4.0,2.0
88,2.0,0.0,0.0,0.0,1627763 - 203521 - 203953 - 203101 - 203503,"Brogdon,Malcolm - Dellavedova,Matthew - Parker,Jabari - Plumlee,Miles - Snell,Tony",2.0,5.0
89,1.0,0.0,0.0,1.0,203507 - 201563 - 1627763 - 203089 - 203953,"Antetokounmpo,Giannis - Beasley,Michael - Brogdon,Malcolm - Henson,John - Parker,Jabari",2.0,2.0
90,3.0,3.0,0.0,1.0,203507 - 203521 - 203953 - 203101 - 1891,"Antetokounmpo,Giannis - Dellavedova,Matthew - Parker,Jabari - Plumlee,Miles - Terry,Jason",0.0,3.0
91,2.0,0.0,0.0,0.0,203507 - 201563 - 1627763 - 203089 - 203141,"Antetokounmpo,Giannis - Beasley,Michael - Brogdon,Malcolm - Henson,John - Teletovic,Mirza",5.0,0.0
92,1.0,0.0,0.0,0.0,203507 - 203521 - 202328 - 203503 - 203141,"Antetokounmpo,Giannis - Dellavedova,Matthew - Monroe,Greg - Snell,Tony - Teletovic,Mirza",1.0,2.0
93,1.0,2.0,0.0,0.0,201563 - 1627763 - 202328 - 203503 - 203141,"Beasley,Michael - Brogdon,Malcolm - Monroe,Greg - Snell,Tony - Teletovic,Mirza",2.0,2.0
94,0.0,0.0,0.0,2.0,201563 - 1627763 - 203953 - 203101 - 1626173,"Beasley,Michael - Brogdon,Malcolm - Parker,Jabari - Plumlee,Miles - Vaughn,Rashad",2.0,0.0
