,FGA_l,FTA_l,MIN_TOT,OREB_l,TOV_l,lineup_ids,lineup_names,points_allowed,points_scored
1816,66.4,12.8,40.0,11.2,20.0,202332 - 204038 - 203501 - 201160 - 202498,"Aldrich,Cole - Galloway,Langston - Hardaway Jr.,Tim - Smith,Jason - Thomas,Lance",11.5,10.0
1817,8.0,0.0,5.0,0.0,1.0,200811 - 101181 - 203501 - 203499 - 204037,"Amundson,Lou - Calderon,Jose - Hardaway Jr.,Tim - Larkin,Shane - Wear,Travis",3.0,12.0
1818,19.0,0.0,9.8,7.0,5.0,203112 - 203921 - 203499 - 2747 - 2405,"Acy,Quincy - Early,Cleanthony - Larkin,Shane - Smith,J.R. - Stoudemire,Amar'e",6.0,5.0
1819,26.0,10.0,19.6,2.0,12.0,203112 - 203501 - 203499 - 203495 - 201160,"Acy,Quincy - Hardaway Jr.,Tim - Larkin,Shane - Ledo,Ricky - Smith,Jason",9.8,8.5
1820,11.0,3.0,4.9,3.0,0.0,202332 - 2546 - 101181 - 202697 - 2405,"Aldrich,Cole - Anthony,Carmelo - Calderon,Jose - Shumpert,Iman - Stoudemire,Amar'e",15.0,12.0
1821,40.0,4.0,19.6,8.0,4.0,2546 - 101181 - 203501 - 203499 - 2405,"Anthony,Carmelo - Calderon,Jose - Hardaway Jr.,Tim - Larkin,Shane - Stoudemire,Amar'e",11.1,9.3
1822,30.0,4.0,19.2,2.0,5.2,203112 - 2546 - 2223 - 203499 - 2747,"Acy,Quincy - Anthony,Carmelo - Dalembert,Samuel - Larkin,Shane - Smith,J.R.",10.8,10.0
1823,20.0,2.0,9.6,5.0,3.0,203112 - 204038 - 203499 - 203495 - 201160,"Acy,Quincy - Galloway,Langston - Larkin,Shane - Ledo,Ricky - Smith,Jason",7.5,6.0
1824,27.9,5.1,14.4,5.1,5.1,202332 - 101181 - 203501 - 203143 - 201160,"Aldrich,Cole - Calderon,Jose - Hardaway Jr.,Tim - Prigioni,Pablo - Smith,Jason",13.7,8.7
1825,6.0,0.0,4.8,1.0,2.0,2223 - 203501 - 203499 - 201160 - 204037,"Dalembert,Samuel - Hardaway Jr.,Tim - Larkin,Shane - Smith,Jason - Wear,Travis",7.0,6.0
1826,7.0,2.0,4.8,0.0,2.0,203501 - 203143 - 2747 - 2405 - 204037,"Hardaway Jr.,Tim - Prigioni,Pablo - Smith,J.R. - Stoudemire,Amar'e - Wear,Travis",6.0,9.0
1827,53.9,7.0,32.9,6.3,7.7,203112 - 2546 - 2223 - 203499 - 202697,"Acy,Quincy - Anthony,Carmelo - Dalembert,Samuel - Larkin,Shane - Shumpert,Iman",10.6,8.6
1828,22.0,2.0,9.4,5.0,2.0,203112 - 2546 - 203501 - 202697 - 2405,"Acy,Quincy - Anthony,Carmelo - Hardaway Jr.,Tim - Shumpert,Iman - Stoudemire,Amar'e",15.0,9.5
1829,8.0,0.0,4.7,0.0,0.0,203112 - 203921 - 203501 - 203143 - 204037,"Acy,Quincy - Early,Cleanthony - Hardaway Jr.,Tim - Prigioni,Pablo - Wear,Travis",3.0,8.0
1830,8.0,5.0,4.7,0.0,1.0,203112 - 204038 - 203501 - 203499 - 204037,"Acy,Quincy - Galloway,Langston - Hardaway Jr.,Tim - Larkin,Shane - Wear,Travis",7.0,16.0
1831,15.0,5.0,9.4,1.0,5.0,202332 - 101181 - 203501 - 203499 - 201160,"Aldrich,Cole - Calderon,Jose - Hardaway Jr.,Tim - Larkin,Shane - Smith,Jason",13.0,10.0
1832,8.0,3.0,4.7,0.0,0.0,200745 - 203921 - 204038 - 203144 - 204037,"Bargnani,Andrea - Early,Cleanthony - Galloway,Langston - Shved,Alexey - Wear,Travis",10.0,9.0
1833,9.0,4.0,4.6,2.0,0.0,2546 - 203499 - 203143 - 2747 - 201160,"Anthony,Carmelo - Larkin,Shane - Prigioni,Pablo - Smith,J.R. - Smith,Jason",11.0,15.0
1834,7.0,2.0,4.6,0.0,2.0,200745 - 203921 - 203499 - 203143 - 2405,"Bargnani,Andrea - Early,Cleanthony - Larkin,Shane - Prigioni,Pablo - Stoudemire,Amar'e",6.0,9.0
1835,7.0,4.0,4.6,1.0,2.0,203501 - 203499 - 201160 - 2405 - 204037,"Hardaway Jr.,Tim - Larkin,Shane - Smith,Jason - Stoudemire,Amar'e - Wear,Travis",14.0,14.0
1836,21.9,2.1,13.5,2.1,3.9,203112 - 202332 - 101181 - 203501 - 203143,"Acy,Quincy - Aldrich,Cole - Calderon,Jose - Hardaway Jr.,Tim - Prigioni,Pablo",11.0,8.3
1837,6.0,5.0,4.5,0.0,2.0,203112 - 200811 - 203921 - 203499 - 203495,"Acy,Quincy - Amundson,Lou - Early,Cleanthony - Larkin,Shane - Ledo,Ricky",4.0,11.0
1838,4.0,0.0,4.5,0.0,6.0,202332 - 101181 - 203921 - 203143 - 204037,"Aldrich,Cole - Calderon,Jose - Early,Cleanthony - Prigioni,Pablo - Wear,Travis",14.0,6.0
1839,37.0,5.0,22.5,3.0,7.0,202332 - 204038 - 203499 - 201160 - 204037,"Aldrich,Cole - Galloway,Langston - Larkin,Shane - Smith,Jason - Wear,Travis",9.0,8.6
1840,8.0,0.0,4.5,1.0,2.0,202332 - 203501 - 203499 - 203143 - 202498,"Aldrich,Cole - Hardaway Jr.,Tim - Larkin,Shane - Prigioni,Pablo - Thomas,Lance",11.0,4.0
1841,17.1,8.1,13.5,2.1,6.9,200811 - 200745 - 203499 - 203495 - 202498,"Amundson,Lou - Bargnani,Andrea - Larkin,Shane - Ledo,Ricky - Thomas,Lance",10.0,7.3
1842,9.0,0.0,4.5,1.0,0.0,200811 - 200745 - 203499 - 203144 - 204037,"Amundson,Lou - Bargnani,Andrea - Larkin,Shane - Shved,Alexey - Wear,Travis",10.0,12.0
1843,21.0,0.0,9.0,7.0,0.0,204038 - 203501 - 203499 - 2405 - 202498,"Galloway,Langston - Hardaway Jr.,Tim - Larkin,Shane - Stoudemire,Amar'e - Thomas,Lance",6.5,8.0
1844,9.0,2.0,4.4,2.0,1.0,203112 - 101181 - 203501 - 2747 - 201160,"Acy,Quincy - Calderon,Jose - Hardaway Jr.,Tim - Smith,J.R. - Smith,Jason",11.0,5.0
1845,13.0,9.0,8.8,2.0,2.0,200745 - 203921 - 203501 - 203144 - 201160,"Bargnani,Andrea - Early,Cleanthony - Hardaway Jr.,Tim - Shved,Alexey - Smith,Jason",5.5,7.0
1846,6.0,7.0,4.4,2.0,2.0,200745 - 203499 - 201160 - 202498 - 204037,"Bargnani,Andrea - Larkin,Shane - Smith,Jason - Thomas,Lance - Wear,Travis",12.0,12.0
1847,6.0,4.0,4.4,0.0,1.0,203921 - 203501 - 203499 - 2747 - 201160,"Early,Cleanthony - Hardaway Jr.,Tim - Larkin,Shane - Smith,J.R. - Smith,Jason",6.0,7.0
1848,10.0,0.0,4.3,2.0,1.0,202332 - 2546 - 204038 - 203143 - 201160,"Aldrich,Cole - Anthony,Carmelo - Galloway,Langston - Prigioni,Pablo - Smith,Jason",11.0,13.0
1849,7.0,0.0,4.3,1.0,2.0,203921 - 203143 - 2747 - 201160 - 2405,"Early,Cleanthony - Prigioni,Pablo - Smith,J.R. - Smith,Jason - Stoudemire,Amar'e",2.0,7.0
1850,17.1,0.9,12.6,0.9,6.9,203112 - 200811 - 203921 - 203501 - 203499,"Acy,Quincy - Amundson,Lou - Early,Cleanthony - Hardaway Jr.,Tim - Larkin,Shane",11.0,7.3
1851,14.0,4.0,8.4,0.0,2.0,202332 - 203921 - 204038 - 203495 - 201160,"Aldrich,Cole - Early,Cleanthony - Galloway,Langston - Ledo,Ricky - Smith,Jason",11.0,5.5
1852,7.0,3.0,4.2,1.0,2.0,202332 - 203501 - 203499 - 202697 - 204037,"Aldrich,Cole - Hardaway Jr.,Tim - Larkin,Shane - Shumpert,Iman - Wear,Travis",6.0,10.0
1853,27.2,7.2,16.4,4.0,2.0,202332 - 203499 - 203144 - 201160 - 204037,"Aldrich,Cole - Larkin,Shane - Shved,Alexey - Smith,Jason - Wear,Travis",6.3,7.8
1854,26.0,2.0,15.6,3.2,5.2,203112 - 202332 - 203501 - 203499 - 203143,"Acy,Quincy - Aldrich,Cole - Hardaway Jr.,Tim - Larkin,Shane - Prigioni,Pablo",7.8,5.8
1855,18.9,8.1,11.7,0.9,3.0,203112 - 203499 - 203144 - 201160 - 202498,"Acy,Quincy - Larkin,Shane - Shved,Alexey - Smith,Jason - Thomas,Lance",6.4,8.7
1856,26.0,0.0,15.6,2.0,7.2,202332 - 203921 - 204038 - 203499 - 204037,"Aldrich,Cole - Early,Cleanthony - Galloway,Langston - Larkin,Shane - Wear,Travis",4.2,6.5
1857,48.3,11.9,27.3,6.3,7.0,202332 - 203499 - 203144 - 201160 - 202498,"Aldrich,Cole - Larkin,Shane - Shved,Alexey - Smith,Jason - Thomas,Lance",7.6,8.0
1858,33.0,6.0,23.4,1.8,10.2,200811 - 204038 - 203499 - 201160 - 202498,"Amundson,Lou - Galloway,Langston - Larkin,Shane - Smith,Jason - Thomas,Lance",7.1,7.3
1859,11.0,6.0,7.8,2.0,3.0,2546 - 101181 - 2223 - 203501 - 203499,"Anthony,Carmelo - Calderon,Jose - Dalembert,Samuel - Hardaway Jr.,Tim - Larkin,Shane",9.0,8.0
1860,17.0,4.0,7.8,5.0,3.0,2546 - 101181 - 203501 - 203143 - 2405,"Anthony,Carmelo - Calderon,Jose - Hardaway Jr.,Tim - Prigioni,Pablo - Stoudemire,Amar'e",5.5,6.0
1861,17.1,3.9,11.7,0.9,3.9,200745 - 203921 - 204038 - 203501 - 201160,"Bargnani,Andrea - Early,Cleanthony - Galloway,Langston - Hardaway Jr.,Tim - Smith,Jason",8.0,4.7
1862,15.0,4.0,7.6,2.0,0.0,203112 - 203921 - 203501 - 203499 - 204037,"Acy,Quincy - Early,Cleanthony - Hardaway Jr.,Tim - Larkin,Shane - Wear,Travis",5.5,7.5
