player_id,age,display_name,dleague_flag,first_name,height,last_name,position,roster_status,season_exp,team_id,team_name,weight,attempt_2,attempt_3,attempt_at_rim_2,attempt_cut_run_2,attempt_drive_2,attempt_jumper_2,attempt_jumper_3,attempt_off_dribble_2,attempt_off_dribble_3,attempt_post_2,made_2,made_3,made_at_rim_2,made_cut_run_2,made_drive_2,made_jumper_2,made_jumper_3,made_off_dribble_2,made_off_dribble_3,made_post_2,total_attempt,total_made,catch_shoot_freq,ast,blk,blk_a,dreb,fta,ftm,gp,min_game,oreb,pf,pfd,reb,stl,tov,c_dreb_game,c_oreb_game,avg_speed_def,avg_speed_off,avg_speed_tot,mi_game_def,mi_game_off,mi_game_tot,d_fga_mid,d_fga_overall,d_fga_paint,d_fga_perim,d_fga_threes,d_fgm_mid,d_fgm_overall,d_fgm_paint,d_fgm_perim,d_fgm_threes,pass_total
2365,14013,Chris Andersen,N,Chris,82,Andersen,Forward-Center,Active,14,1610612739,Cavaliers,245,58.0,14.0,24.0,17.0,2.0,12.0,14.0,0.0,0.0,3.0,34.0,4.0,14.0,14.0,2.0,4.0,4.0,0.0,0.0,0.0,72.0,38.0,0.25,0.4,0.5,0.2,2.3,1.3,0.9,27.0,14.9,1.3,1.1,1.3,3.6,0.6,0.3,0.59,1.11,3.81,4.26,4.03,0.47,0.53,1.0,1.42,6.15,3.08,1.65,0.58,0.47,3.12,1.88,0.77,0.23,434.97
2399,13212,Mike Dunleavy,N,Mike,81,Dunleavy,Guard-Forward,Active,14,1610612739,Cavaliers,230,89.0,99.0,21.0,16.0,15.0,30.0,97.0,5.0,2.0,2.0,38.0,39.0,13.0,13.0,5.0,5.0,37.0,2.0,2.0,0.0,188.0,77.0,0.519,1.3,0.3,0.4,2.4,1.2,0.9,31.0,22.7,0.3,2.1,1.1,2.7,0.5,0.8,0.38,0.16,3.94,4.9,4.41,0.73,0.94,1.67,1.07,7.6,2.13,4.4,2.9,0.36,3.4,1.37,1.67,0.87,691.61
2400,12838,Drew Gooden,N,Drew,82,Gooden,Forward,Active,14,1610612764,Wizards,250,62.0,41.0,24.0,0.0,1.0,31.0,41.0,1.0,0.0,5.0,26.0,7.0,12.0,0.0,1.0,10.0,7.0,0.0,0.0,3.0,103.0,33.0,0.495,0.4,0.4,0.2,1.9,0.5,0.3,30.0,10.2,0.9,1.3,0.6,2.8,0.3,0.4,0.63,0.63,4.01,4.43,4.23,0.34,0.38,0.72,0.7,4.27,1.65,1.92,0.92,0.46,2.19,0.92,0.81,0.42,418.8
2403,12484,Nene,N,Nene,83,Hilario,Center-Forward,Active,14,1610612745,Rockets,250,381.0,3.0,98.0,28.0,65.0,149.0,3.0,2.0,0.0,39.0,209.0,0.0,52.0,27.0,55.0,50.0,0.0,0.0,0.0,25.0,384.0,209.0,0.203,1.7,0.5,0.4,3.6,3.2,1.9,57.0,19.2,0.9,2.7,2.9,4.5,0.9,1.3,0.81,0.58,3.75,4.21,3.97,0.63,0.64,1.27,1.86,7.59,3.5,2.23,0.88,0.77,3.66,1.91,0.98,0.36,1252.86
2405,12420,Amar'e Stoudemire,N,Amar'e,82,Stoudemire,Forward-Center,Active,14,1610612748,Heat,245,221.0,0.0,109.0,17.0,9.0,64.0,0.0,2.0,0.0,20.0,125.0,0.0,63.0,15.0,7.0,26.0,0.0,1.0,0.0,13.0,221.0,125.0,0.163,0.5,0.8,0.6,3.0,1.3,1.0,52.0,14.7,1.3,1.8,1.4,4.3,0.3,0.9,0.65,1.0,3.77,4.16,3.97,0.45,0.52,0.97,1.7,6.54,3.12,1.72,0.58,0.56,3.0,1.7,0.74,0.2,686.92
2406,13398,Caron Butler,N,Caron,79,Butler,Forward,Active,14,1610612758,Kings,228,41.0,18.0,2.0,0.0,0.0,36.0,18.0,1.0,0.0,2.0,22.0,3.0,1.0,0.0,0.0,19.0,3.0,1.0,0.0,1.0,59.0,25.0,0.492,0.6,0.1,0.0,1.0,0.7,0.6,17.0,10.3,0.3,1.1,0.5,1.3,0.5,0.2,0.06,0.06,3.6,4.28,3.93,0.31,0.37,0.69,0.92,4.15,1.15,2.08,1.69,0.54,1.92,0.69,0.69,0.46,185.28
2419,13412,Tayshaun Prince,N,Tayshaun,81,Prince,Forward,Active,14,1610612750,Timberwolves,212,206.0,23.0,16.0,6.0,9.0,145.0,23.0,9.0,0.0,21.0,98.0,4.0,12.0,6.0,6.0,58.0,4.0,7.0,0.0,9.0,229.0,102.0,0.529,1.0,0.2,0.1,1.5,0.2,0.2,77.0,19.0,0.4,0.8,0.4,1.9,0.5,0.4,0.3,0.22,3.85,4.16,4.0,0.61,0.65,1.27,0.91,5.43,1.51,3.01,1.85,0.35,2.39,0.89,1.15,0.66,1191.19
2440,13402,Matt Barnes,N,Matt,79,Barnes,Forward,Active,13,1610612758,Kings,226,323.0,369.0,101.0,64.0,42.0,63.0,348.0,38.0,21.0,14.0,145.0,118.0,50.0,41.0,20.0,11.0,110.0,17.0,8.0,5.0,692.0,263.0,0.496,2.1,0.8,0.5,4.4,1.8,1.5,76.0,28.8,1.1,3.1,1.4,5.5,1.0,1.6,0.72,0.7,3.82,4.63,4.24,0.91,1.13,2.04,1.51,10.12,2.64,5.97,4.29,0.67,4.86,1.74,2.45,1.78,2916.12
2446,13693,Rasual Butler,Y,Rasual,0,Butler,,Inactive,13,0,,0,55.0,49.0,5.0,5.0,13.0,20.0,49.0,10.0,0.0,2.0,34.0,15.0,2.0,5.0,11.0,11.0,15.0,5.0,0.0,0.0,104.0,49.0,0.519,0.5,0.5,0.1,1.2,0.3,0.2,46.0,9.4,0.1,0.2,0.3,1.2,0.3,0.2,0.15,0.04,3.98,4.47,4.23,0.29,0.37,0.66,0.57,4.06,1.29,2.2,1.63,0.25,1.54,0.6,0.69,0.49,461.7
2449,13350,Luis Scola,N,Luis,81,Scola,Forward,Active,9,1610612751,Nets,241,437.0,160.0,90.0,46.0,50.0,149.0,158.0,13.0,2.0,89.0,204.0,65.0,46.0,37.0,23.0,48.0,64.0,5.0,1.0,45.0,597.0,269.0,0.403,0.9,0.4,0.5,3.6,1.1,0.8,76.0,21.5,1.1,2.3,1.4,4.8,0.6,0.9,1.03,0.72,4.06,4.48,4.28,0.67,0.86,1.54,1.85,7.53,2.35,3.33,1.91,0.89,3.71,1.39,1.43,0.8,2325.75
