,cluster_dist,def_comp,inertia,k_val,off_comp,s_score
731,"[0.31, 0.17, 0.17, 0.14, 0.11, 0.1]",4,2.18938393477,6,8,0.230339991053
732,"[0.31, 0.19, 0.16, 0.14, 0.1, 0.07, 0.04]",4,2.02002000487,7,8,0.234913856439
733,"[0.23, 0.17, 0.15, 0.12, 0.11, 0.09, 0.07, 0.05]",4,1.88445589447,8,8,0.219503507384
734,"[0.22, 0.17, 0.12, 0.11, 0.1, 0.09, 0.08, 0.06, 0.05]",4,1.77777864466,9,8,0.217590330436
735,"[0.21, 0.16, 0.11, 0.1, 0.09, 0.08, 0.08, 0.08, 0.06, 0.04]",4,1.68225002361,10,8,0.206952697345
736,"[0.2, 0.14, 0.13, 0.09, 0.09, 0.08, 0.07, 0.06, 0.06, 0.04, 0.03]",4,1.61043464244,11,8,0.196896982432
737,"[0.18, 0.17, 0.11, 0.1, 0.07, 0.07, 0.06, 0.06, 0.06, 0.05, 0.04, 0.03]",4,1.53875866604,12,8,0.199791499817
738,"[0.16, 0.13, 0.12, 0.09, 0.08, 0.07, 0.07, 0.07, 0.06, 0.06, 0.04, 0.04, 0.02]",4,1.48590705885,13,8,0.187663422939
739,"[0.16, 0.1, 0.08, 0.08, 0.08, 0.08, 0.07, 0.07, 0.07, 0.06, 0.06, 0.04, 0.04, 0.03]",4,1.43192243373,14,8,0.179524864144
740,"[0.11, 0.1, 0.1, 0.1, 0.1, 0.08, 0.08, 0.07, 0.05, 0.04, 0.04, 0.04, 0.04, 0.03, 0.03]",4,1.38924912385,15,8,0.179501960433
741,"[0.67, 0.33]",5,4.22608571947,2,8,0.402008939232
742,"[0.33, 0.3, 0.23, 0.14]",5,2.9460103598,4,8,0.237515175126
743,"[0.3, 0.26, 0.2, 0.18, 0.06]",5,2.64778723132,5,8,0.235726437179
744,"[0.3, 0.18, 0.17, 0.16, 0.1, 0.07]",5,2.38230563405,6,8,0.221185261017
745,"[0.3, 0.18, 0.15, 0.14, 0.11, 0.08, 0.04]",5,2.18852887707,7,8,0.218961216805
746,"[0.19, 0.19, 0.17, 0.14, 0.12, 0.08, 0.07, 0.04]",5,2.05518081986,8,8,0.198927814439
747,"[0.19, 0.18, 0.18, 0.11, 0.09, 0.09, 0.07, 0.06, 0.04]",5,1.93652655198,9,8,0.196442291427
748,"[0.19, 0.17, 0.15, 0.1, 0.09, 0.08, 0.07, 0.07, 0.04, 0.04]",5,1.8353291882,10,8,0.208731798919
749,"[0.18, 0.13, 0.11, 0.1, 0.1, 0.09, 0.09, 0.07, 0.07, 0.04, 0.04]",5,1.77391090527,11,8,0.188995945655
750,"[0.22, 0.18, 0.11, 0.1, 0.07, 0.06, 0.06, 0.06, 0.05, 0.04, 0.03, 0.02]",5,1.70856546463,12,8,0.20607187881
751,"[0.16, 0.15, 0.12, 0.1, 0.09, 0.08, 0.07, 0.06, 0.05, 0.04, 0.04, 0.03, 0.01]",5,1.62742329855,13,8,0.183753158725
752,"[0.15, 0.1, 0.1, 0.1, 0.09, 0.09, 0.08, 0.07, 0.07, 0.05, 0.04, 0.04, 0.03, 0.01]",5,1.58163882403,14,8,0.185102488077
753,"[0.15, 0.14, 0.14, 0.1, 0.09, 0.06, 0.06, 0.05, 0.05, 0.03, 0.03, 0.03, 0.02, 0.02, 0.01]",5,1.5394243547,15,8,0.183612905205
754,"[0.68, 0.32]",6,4.60252981258,2,8,0.393155537793
755,"[0.33, 0.29, 0.23, 0.14]",6,3.26178006585,4,8,0.226912518734
756,"[0.28, 0.22, 0.22, 0.17, 0.11]",6,2.96725939032,5,8,0.208782708873
757,"[0.26, 0.26, 0.14, 0.13, 0.12, 0.08]",6,2.71380404048,6,8,0.213701220615
758,"[0.26, 0.25, 0.16, 0.12, 0.1, 0.08, 0.04]",6,2.48860673753,7,8,0.213803213778
759,"[0.29, 0.19, 0.14, 0.13, 0.1, 0.07, 0.04, 0.04]",6,2.32178309905,8,8,0.211825362052
760,"[0.22, 0.17, 0.13, 0.12, 0.09, 0.08, 0.08, 0.07, 0.04]",6,2.17504675243,9,8,0.190894462216
761,"[0.21, 0.17, 0.12, 0.1, 0.09, 0.09, 0.07, 0.07, 0.06, 0.03]",6,2.06176093833,10,8,0.193418445745
762,"[0.18, 0.17, 0.17, 0.11, 0.1, 0.07, 0.07, 0.04, 0.04, 0.03, 0.03]",6,1.96946713399,11,8,0.208042781
763,"[0.16, 0.13, 0.12, 0.11, 0.1, 0.1, 0.07, 0.07, 0.07, 0.04, 0.03, 0.01]",6,1.89507266354,12,8,0.190965756779
764,"[0.16, 0.16, 0.15, 0.1, 0.08, 0.06, 0.06, 0.06, 0.06, 0.04, 0.04, 0.03, 0.01]",6,1.80154870576,13,8,0.20197995937
765,"[0.15, 0.12, 0.11, 0.11, 0.1, 0.06, 0.06, 0.05, 0.05, 0.05, 0.05, 0.04, 0.04, 0.04]",6,1.75506213559,14,8,0.175434602343
766,"[0.13, 0.13, 0.12, 0.08, 0.08, 0.07, 0.07, 0.06, 0.06, 0.05, 0.04, 0.04, 0.03, 0.03, 0.01]",6,1.68856714417,15,8,0.18445452178
767,"[0.71, 0.29]",7,5.36812504966,2,8,0.3930855939
768,"[0.36, 0.3, 0.24, 0.1]",7,3.99979933848,4,8,0.208990148859
769,"[0.32, 0.22, 0.22, 0.18, 0.07]",7,3.52354323961,5,8,0.215177511705
770,"[0.28, 0.24, 0.21, 0.11, 0.11, 0.05]",7,3.22320735516,6,8,0.20977534133
771,"[0.31, 0.2, 0.14, 0.11, 0.1, 0.08, 0.06]",7,2.97484251609,7,8,0.201309034734
772,"[0.21, 0.19, 0.17, 0.12, 0.11, 0.11, 0.05, 0.04]",7,2.81048002147,8,8,0.190209757314
773,"[0.2, 0.19, 0.17, 0.13, 0.1, 0.09, 0.06, 0.04, 0.03]",7,2.64583004259,9,8,0.187006098252
774,"[0.19, 0.19, 0.18, 0.12, 0.08, 0.07, 0.07, 0.04, 0.03, 0.03]",7,2.51128085756,10,8,0.187964706086
775,"[0.17, 0.14, 0.13, 0.12, 0.11, 0.08, 0.08, 0.06, 0.05, 0.03, 0.03]",7,2.40917045883,11,8,0.174720609763
776,"[0.19, 0.13, 0.13, 0.12, 0.11, 0.07, 0.06, 0.06, 0.06, 0.04, 0.03, 0.01]",7,2.29968947484,12,8,0.186004621253
777,"[0.17, 0.13, 0.12, 0.11, 0.1, 0.06, 0.06, 0.06, 0.05, 0.05, 0.04, 0.04, 0.03]",7,2.2242313578,13,8,0.181196480657
778,"[0.15, 0.14, 0.13, 0.11, 0.11, 0.08, 0.07, 0.06, 0.04, 0.03, 0.03, 0.02, 0.02, 0.01]",7,2.13658035309,14,8,0.193252547909
779,"[0.17, 0.15, 0.13, 0.11, 0.06, 0.06, 0.06, 0.06, 0.04, 0.04, 0.04, 0.03, 0.02, 0.02, 0.01]",7,2.04691225724,15,8,0.199850535211
780,"[0.71, 0.29]",8,5.10135662463,2,8,0.392867166068
781,"[0.34, 0.28, 0.2, 0.18]",8,3.77777986349,4,8,0.207646290588
782,"[0.3, 0.23, 0.22, 0.17, 0.08]",8,3.36512469439,5,8,0.209567114119
783,"[0.29, 0.22, 0.2, 0.12, 0.1, 0.07]",8,3.10218025386,6,8,0.201725022209
784,"[0.3, 0.18, 0.14, 0.11, 0.1, 0.1, 0.06]",8,2.86255926008,7,8,0.194027615082
785,"[0.28, 0.26, 0.13, 0.09, 0.08, 0.07, 0.06, 0.04]",8,2.7367101862,8,8,0.20444267697
786,"[0.19, 0.19, 0.18, 0.11, 0.09, 0.08, 0.07, 0.05, 0.05]",8,2.55396432212,9,8,0.17926805041
787,"[0.19, 0.18, 0.17, 0.13, 0.08, 0.06, 0.06, 0.04, 0.04, 0.04]",8,2.44065114527,10,8,0.177005954538
788,"[0.17, 0.16, 0.15, 0.11, 0.09, 0.08, 0.08, 0.07, 0.05, 0.03, 0.03]",8,2.32301873421,11,8,0.179402172462
789,"[0.17, 0.14, 0.13, 0.13, 0.11, 0.07, 0.07, 0.06, 0.05, 0.03, 0.03, 0.01]",8,2.22056963656,12,8,0.184053566214
790,"[0.16, 0.15, 0.14, 0.11, 0.09, 0.07, 0.06, 0.06, 0.06, 0.04, 0.04, 0.02, 0.02]",8,2.13244277233,13,8,0.184166462501
791,"[0.15, 0.13, 0.13, 0.11, 0.09, 0.07, 0.06, 0.06, 0.06, 0.04, 0.03, 0.03, 0.03, 0.01]",8,2.11856245532,14,8,0.167924210436
792,"[0.16, 0.13, 0.11, 0.1, 0.1, 0.07, 0.06, 0.04, 0.04, 0.04, 0.04, 0.03, 0.03, 0.03, 0.03]",8,2.02299128301,15,8,0.181512122768
793,"[0.72, 0.28]",9,4.99123954466,2,8,0.396099943325
794,"[0.35, 0.26, 0.22, 0.16]",9,3.66686473563,4,8,0.212076827816
795,"[0.31, 0.24, 0.19, 0.17, 0.08]",9,3.28435739704,5,8,0.21036790283
796,"[0.31, 0.23, 0.2, 0.11, 0.1, 0.05]",9,3.04032127734,6,8,0.21134829216
797,"[0.27, 0.25, 0.14, 0.11, 0.11, 0.08, 0.04]",9,2.80506949913,7,8,0.213008968989
798,"[0.27, 0.19, 0.15, 0.1, 0.1, 0.09, 0.06, 0.04]",9,2.64648060996,8,8,0.194127552405
799,"[0.2, 0.17, 0.17, 0.12, 0.11, 0.09, 0.08, 0.04, 0.03]",9,2.48647576816,9,8,0.182866224678
800,"[0.18, 0.17, 0.17, 0.11, 0.1, 0.09, 0.07, 0.04, 0.04, 0.04]",9,2.38547807756,10,8,0.189026051251
801,"[0.18, 0.17, 0.17, 0.11, 0.09, 0.08, 0.07, 0.04, 0.04, 0.03, 0.02]",9,2.27491047634,11,8,0.18763018557
802,"[0.17, 0.17, 0.13, 0.12, 0.11, 0.09, 0.06, 0.04, 0.04, 0.04, 0.03, 0.01]",9,2.1720234238,12,8,0.177294207686
803,"[0.16, 0.15, 0.12, 0.1, 0.1, 0.08, 0.07, 0.07, 0.06, 0.04, 0.03, 0.03, 0.01]",9,2.09334816956,13,8,0.17946385945
804,"[0.15, 0.15, 0.11, 0.1, 0.1, 0.08, 0.07, 0.06, 0.05, 0.04, 0.04, 0.03, 0.02, 0.01]",9,2.05170801162,14,8,0.169421957045
805,"[0.14, 0.12, 0.1, 0.1, 0.1, 0.08, 0.07, 0.06, 0.05, 0.05, 0.04, 0.04, 0.03, 0.02, 0.01]",9,1.98335543392,15,8,0.151324044082
806,"[0.72, 0.28]",10,5.05442495626,2,8,0.39324504074
807,"[0.35, 0.26, 0.26, 0.13]",10,3.73524815326,4,8,0.210588000482
808,"[0.31, 0.24, 0.2, 0.16, 0.08]",10,3.36907243643,5,8,0.206027957017
809,"[0.3, 0.22, 0.21, 0.12, 0.1, 0.05]",10,3.07913393786,6,8,0.208498720886
810,"[0.27, 0.24, 0.13, 0.11, 0.1, 0.1, 0.05]",10,2.84794563106,7,8,0.206444634241
811,"[0.21, 0.17, 0.17, 0.13, 0.12, 0.11, 0.07, 0.04]",10,2.69118751329,8,8,0.182999890037
812,"[0.2, 0.18, 0.17, 0.12, 0.11, 0.08, 0.06, 0.04, 0.04]",10,2.54870287463,9,8,0.183572216365
813,"[0.2, 0.18, 0.17, 0.14, 0.1, 0.06, 0.04, 0.04, 0.04, 0.03]",10,2.44655989359,10,8,0.181660940322
814,"[0.18, 0.17, 0.13, 0.13, 0.1, 0.07, 0.06, 0.06, 0.04, 0.04, 0.01]",10,2.32240411476,11,8,0.190044738278
815,"[0.16, 0.13, 0.12, 0.11, 0.11, 0.07, 0.07, 0.06, 0.06, 0.05, 0.04, 0.03]",10,2.26088509928,12,8,0.181023620166
816,"[0.16, 0.14, 0.13, 0.11, 0.09, 0.09, 0.07, 0.06, 0.04, 0.04, 0.04, 0.02, 0.01]",10,2.16878568493,13,8,0.175982506583
817,"[0.17, 0.13, 0.12, 0.11, 0.1, 0.07, 0.07, 0.07, 0.05, 0.04, 0.03, 0.03, 0.03, 0.01]",10,2.06419880597,14,8,0.183459432407
818,"[0.15, 0.11, 0.11, 0.1, 0.07, 0.06, 0.06, 0.06, 0.06, 0.06, 0.05, 0.05, 0.04, 0.02, 0.01]",10,2.02240471317,15,8,0.163461428247
819,"[0.69, 0.31]",2,3.54927298674,2,9,0.422666229743
820,"[0.3, 0.3, 0.21, 0.19]",2,2.33426296733,4,9,0.278607854673
821,"[0.35, 0.26, 0.17, 0.12, 0.11]",2,2.04810694733,5,9,0.250219234297
822,"[0.27, 0.2, 0.16, 0.16, 0.11, 0.1]",2,1.82379706761,6,9,0.245296969731
823,"[0.29, 0.2, 0.15, 0.14, 0.1, 0.07, 0.05]",2,1.7025803207,7,9,0.251693039237
824,"[0.19, 0.17, 0.16, 0.15, 0.12, 0.09, 0.08, 0.04]",2,1.57110288262,8,9,0.217272050265
825,"[0.18, 0.18, 0.16, 0.11, 0.1, 0.09, 0.08, 0.07, 0.03]",2,1.49221321387,9,9,0.213773231461
826,"[0.17, 0.15, 0.14, 0.12, 0.12, 0.08, 0.07, 0.06, 0.06, 0.04]",2,1.43438805534,10,9,0.188394360768
827,"[0.19, 0.13, 0.12, 0.1, 0.1, 0.09, 0.08, 0.06, 0.06, 0.04, 0.03]",2,1.37468138991,11,9,0.200492543184
828,"[0.17, 0.16, 0.12, 0.12, 0.09, 0.08, 0.06, 0.06, 0.05, 0.04, 0.03, 0.03]",2,1.31664723671,12,9,0.194619453916
