player_id,age,display_name,dleague_flag,first_name,height,last_name,position,roster_status,season_exp,team_id,team_name,weight,attempt_2,attempt_3,attempt_at_rim_2,attempt_cut_run_2,attempt_drive_2,attempt_jumper_2,attempt_jumper_3,attempt_off_dribble_2,attempt_off_dribble_3,attempt_post_2,made_2,made_3,made_at_rim_2,made_cut_run_2,made_drive_2,made_jumper_2,made_jumper_3,made_off_dribble_2,made_off_dribble_3,made_post_2,total_attempt,total_made,catch_shoot_freq,ast,blk,blk_a,dreb,fta,ftm,gp,min_game,oreb,pf,pfd,reb,stl,tov,c_dreb_game,c_oreb_game,avg_speed_def,avg_speed_off,avg_speed_tot,mi_game_def,mi_game_off,mi_game_tot,d_fga_overall,d_fga_paint,d_fga_perim,d_fgm_overall,d_fgm_paint,d_fgm_perim,d_ppm_overall,d_ppm_paint,d_ppm_perim,pass_total
2202,13084,Jason Richardson,N,Jason,78,Richardson,Guard,Active,13,1610612755,76ers,225,82.0,96.0,21.0,1.0,8.0,41.0,96.0,5.0,0.0,4.0,31.0,31.0,9.0,1.0,5.0,8.0,31.0,4.0,0.0,3.0,178.0,62.0,0.446,2.0,0.2,0.1,2.8,1.2,0.9,19.0,21.9,0.7,1.5,1.2,3.5,0.7,0.8,0.32,0.53,3.91,4.41,4.15,0.71,0.81,1.52,6.79,2.05,3.84,3.37,1.58,1.47,0.063,0.192,0.014,387.6
2207,12924,Joe Johnson,N,Joe,79,Johnson,Forward-Guard,Active,15,1610612762,Jazz,240,688.0,337.0,68.0,5.0,33.0,405.0,335.0,124.0,2.0,40.0,325.0,121.0,31.0,3.0,27.0,166.0,120.0,74.0,1.0,15.0,1025.0,446.0,0.293,3.7,0.2,0.3,4.1,2.2,1.8,80.0,34.9,0.7,1.5,2.2,4.8,0.7,1.7,0.66,0.35,3.59,4.45,4.02,1.04,1.3,2.34,9.51,2.2,5.8,4.35,1.7,2.01,0.015,0.178,-0.014,2893.6
2210,13297,Richard Jefferson,N,Richard,79,Jefferson,Forward,Active,15,1610612739,Cavaliers,233,169.0,155.0,34.0,5.0,38.0,63.0,152.0,13.0,3.0,4.0,78.0,66.0,19.0,4.0,24.0,16.0,64.0,5.0,2.0,1.0,324.0,144.0,0.455,0.8,0.1,0.3,2.1,1.5,1.1,74.0,16.8,0.3,1.6,1.3,2.5,0.4,0.7,0.47,0.16,3.98,4.27,4.11,0.57,0.59,1.16,6.33,1.75,3.26,2.86,1.13,1.13,0.011,0.04,-0.017,1246.84
2216,12907,Zach Randolph,N,Zach,81,Randolph,Forward,Active,15,1610612763,Grizzlies,260,912.0,20.0,294.0,16.0,45.0,393.0,19.0,25.0,0.0,85.0,447.0,7.0,193.0,9.0,34.0,125.0,6.0,11.0,0.0,47.0,932.0,454.0,0.11,2.2,0.2,1.2,7.4,4.2,3.2,71.0,32.4,3.2,2.5,4.1,10.5,1.0,2.2,1.66,2.68,3.76,3.98,3.87,0.98,1.11,2.1,11.51,4.57,4.89,5.57,2.9,1.79,0.023,0.041,-0.008,2530.44
2217,13504,Brendan Haywood,N,Brendan,84,Haywood,Center,Active,12,1610612739,Cavaliers,263,30.0,0.0,3.0,2.0,0.0,12.0,0.0,1.0,0.0,5.0,14.0,0.0,3.0,1.0,0.0,3.0,0.0,0.0,0.0,3.0,30.0,14.0,0.133,0.1,0.5,0.1,1.0,0.6,0.3,22.0,5.4,0.3,0.8,0.5,1.3,0.1,0.5,0.23,0.23,3.67,4.14,3.93,0.15,0.2,0.35,3.47,1.29,1.24,1.24,0.65,0.29,-0.111,-0.105,-0.109,83.16
2222,12535,Gerald Wallace,N,Gerald,79,Wallace,Forward,Active,14,1610612738,Celtics,220,31.0,3.0,21.0,1.0,3.0,6.0,3.0,0.0,0.0,0.0,13.0,1.0,13.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,34.0,14.0,0.088,0.3,0.1,0.2,1.3,0.5,0.2,32.0,8.9,0.5,0.6,0.7,1.8,0.5,0.6,0.22,0.44,3.86,4.37,4.12,0.29,0.32,0.61,3.8,1.24,2.04,1.96,0.84,0.88,0.077,0.105,0.07,305.6
2223,13339,Samuel Dalembert,N,Samuel,0,Dalembert,,Inactive,13,0,,0,130.0,0.0,29.0,0.0,3.0,58.0,0.0,1.0,0.0,20.0,57.0,0.0,21.0,0.0,1.0,19.0,0.0,1.0,0.0,6.0,130.0,57.0,0.308,0.9,1.3,0.2,3.6,0.6,0.4,32.0,17.0,1.7,2.2,0.9,5.3,0.4,1.2,0.97,1.38,3.7,4.22,3.99,0.5,0.62,1.13,8.1,4.52,1.84,3.45,2.1,0.71,-0.051,-0.134,-0.012,781.44
2225,12602,Tony Parker,N,Tony,74,Parker,Guard,Active,15,1610612759,Spurs,185,743.0,89.0,138.0,8.0,92.0,375.0,86.0,116.0,3.0,9.0,366.0,38.0,67.0,6.0,71.0,134.0,36.0,77.0,2.0,8.0,832.0,404.0,0.128,4.9,0.0,0.7,1.7,2.4,1.9,68.0,28.7,0.2,1.6,2.2,1.9,0.6,2.1,0.12,0.05,3.91,5.21,4.58,0.91,1.28,2.19,7.46,1.41,4.4,3.35,1.0,1.69,0.013,0.108,0.013,3687.64
2365,14012,Chris Andersen,N,Chris,82,Andersen,Forward-Center,Active,14,1610612739,Cavaliers,245,194.0,13.0,117.0,0.0,7.0,41.0,13.0,1.0,0.0,4.0,116.0,4.0,86.0,0.0,3.0,14.0,4.0,1.0,0.0,2.0,207.0,120.0,0.141,0.7,1.0,0.4,3.7,1.9,1.3,60.0,18.9,1.3,1.5,1.8,5.0,0.4,0.7,1.11,0.92,3.8,4.11,3.97,0.59,0.65,1.24,7.56,4.3,1.58,3.93,2.56,0.58,0.048,-0.002,-0.013,1118.64
2399,13211,Mike Dunleavy,N,Mike,81,Dunleavy,Guard-Forward,Active,14,1610612739,Cavaliers,230,218.0,263.0,46.0,19.0,19.0,105.0,261.0,17.0,2.0,3.0,102.0,107.0,28.0,10.0,12.0,38.0,105.0,10.0,2.0,1.0,481.0,209.0,0.585,1.8,0.3,0.2,3.5,1.4,1.1,63.0,29.2,0.4,2.0,1.2,3.9,0.6,1.0,0.65,0.27,3.93,5.03,4.49,0.94,1.24,2.18,8.27,1.68,4.79,3.41,1.0,1.67,-0.026,0.004,-0.019,1668.24
