player_id,display_name,blk_pos,dreb_pos,gp,oreb_pos,stl_pos,min_tot,attempt_RA_pos,attempt_paint_pos,attempt_corner_3_pos,attempt_non_corner_3_pos,attempt_mid_pos,ast_shot_pct,ast_pos,fta_pos,d_fga_paint_pct,d_fga_threes_pct,d_fga_mid_pct
2207,Joe Johnson,0.009,0.213,255.0,0.039,0.044,8447.8,0.0202429559574,0.052758203964,0.0246711025731,0.044661021581,0.0487728720099,0.429850746269,0.0542890775083,0.0338942993812,0.229948889541,0.414323191535,0.355727918924
2210,Richard Jefferson,0.014,0.216,242.0,0.027,0.048,5006.2,0.0350076613736,0.0145334836612,0.0284304643883,0.0405240201356,0.0230201894487,0.729096989967,0.0274969267517,0.0396116992634,0.225038484946,0.373691810165,0.401269704889
2215,Jason Collins,0.003,0.035,22.0,0.02,0.023,171.6,0.0423513467728,0.0127054040318,0.00847026935457,0.00423513467728,0.0338810774183,0.727272727273,0.01863459258,0.01863459258,0.488151658768,0.144549763033,0.367298578199
2216,Zach Randolph,0.01,0.44,232.0,0.187,0.045,7328.4,0.09666813258,0.0593357505745,0.000806790180865,0.00506077477088,0.0737846292682,0.478118876551,0.0374423988483,0.0652106499824,0.396740984217,0.18421113833,0.419047877454
2217,Brendan Haywood,0.042,0.097,22.0,0.025,0.008,118.8,0.0264774412201,0.0794323236602,0.0,0.0,0.0529548824402,0.785714285714,0.0116500741368,0.069900444821,0.371757925072,0.0835734870317,0.544668587896
2222,Gerald Wallace,0.012,0.131,90.0,0.042,0.052,1700.0,0.0569306619464,0.00628682156464,0.00698535729404,0.016415589641,0.00558828583523,0.7,0.0539968118829,0.0400260972949,0.302251194429,0.333508786137,0.364240019435
2223,Samuel Dalembert,0.069,0.218,112.0,0.114,0.026,2160.0,0.0810202506028,0.0247768350467,0.0,0.000247768350467,0.0195736996869,0.734317343173,0.0170464625122,0.0384536479925,0.537648131267,0.0585232452142,0.403828623519
2224,Jamaal Tinsley,0.0,0.043,8.0,0.009,0.009,110.4,0.00522345960176,0.0156703788053,0.0104469192035,0.0679049748229,0.00522345960176,0.25,0.121184262761,0.0,0.322164948454,0.322164948454,0.355670103093
2225,Tony Parker,0.008,0.142,217.0,0.016,0.043,6163.9,0.0748099096742,0.0411933495645,0.0138472359001,0.00609626737741,0.0843897584101,0.329581993569,0.099769770108,0.0522275935176,0.161623123714,0.321725526235,0.51665135005
2229,Mike James,0.0,0.052,11.0,0.0,0.015,77.0,0.0224671978911,0.0449343957822,0.0,0.0374453298185,0.0524234617459,0.2,0.123569588401,0.0164759451201,0.148148148148,0.37037037037,0.481481481481
2248,Earl Watson,0.003,0.031,24.0,0.016,0.016,160.8,0.0,0.00316896945113,0.0126758778045,0.0095069083534,0.0095069083534,0.666666666667,0.0912663201927,0.0152110533654,0.162352941176,0.397647058824,0.44
2365,Chris Andersen,0.113,0.374,163.0,0.211,0.076,2963.1,0.0837190712044,0.00540123040029,0.00212191194297,0.00559413148601,0.0117669662292,0.736686390533,0.0145833220808,0.0618633781918,0.533027112376,0.109209426427,0.357763461197
2399,Mike Dunleavy,0.027,0.231,187.0,0.026,0.045,5310.0,0.0301262473816,0.00765264804871,0.0139491306204,0.0554090466312,0.0369070747666,0.861417322835,0.0341172486425,0.0287797688009,0.220078042804,0.338174384381,0.441747572816
2400,Drew Gooden,0.031,0.279,103.0,0.135,0.038,1563.9,0.0458528703897,0.0175010955686,0.00805050396155,0.0329020596689,0.0784049081473,0.671232876712,0.0274417178515,0.0305569128627,0.345123036816,0.238713677116,0.416163286069
2403,Nene,0.047,0.306,189.0,0.106,0.076,4579.3,0.0843235892741,0.0282189613645,0.000777687911619,0.000999884457796,0.0679921431301,0.656103286385,0.0428394941029,0.0757690222463,0.384054209919,0.159359861592,0.456585928489
2405,Amar'e Stoudemire,0.056,0.268,176.0,0.128,0.032,3478.3,0.118873941377,0.0343891235138,0.0,0.000661329298343,0.05588232571,0.578279266573,0.0174756267087,0.0757056714278,0.479162740806,0.115253598504,0.40558366069
2406,Caron Butler,0.01,0.173,151.0,0.027,0.054,3214.3,0.0112531130814,0.00705419028981,0.022842139986,0.0586169621701,0.0671827646648,0.761904761905,0.0289221801882,0.0247064617055,0.279708189677,0.378623894469,0.341667915855
2408,Melvin Ely,0.022,0.022,2.0,0.0,0.0,27.2,0.0650195058518,0.0650195058518,0.0,0.0,0.0650195058518,1.0,0.0,0.0,0.571428571429,0.0,0.428571428571
